pilot_id,stratum,unicode,char,catalog_scope,authority_layer,unicode_identity_status,structure_evidence_status,source_grade,next_action,dictionary_context_entries,dictionary_context_sources,yuanliu_context_available,cihai_context_hits,wiki_hit_count,zdic_url,zdic_snapshot_available,gf0017_join_status,blocking_reason,recommended_next_action,gf0017_points_assigned,final_structure_label,cnbe_write_status,editable_copy_notice
8105_core_control_013,8105_core_control,U+5555,啕,8105_core,national_standard_core_pending_item_join,PASS_UNICODE_IDENTITY_FROM_EXISTING_INDEX,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,True,0,0,https://www.zdic.net/hans/%E5%95%95,False,PENDING_STANDARD_DERIVED_ITEM_JOIN,8105 core row still requires standard-derived structure/decomposition and item-level joins,join_8105_standard_sources_before_scoring,0,,NO_CNBE_WRITE,PILOT_EVIDENCE_JOIN_REVIEW_ONLY_NOT_SOURCE_EVIDENCE
8105_core_control_014,8105_core_control,U+5600,嘀,8105_core,national_standard_core_pending_item_join,PASS_UNICODE_IDENTITY_FROM_EXISTING_INDEX,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,True,8,0,https://www.zdic.net/hans/%E5%98%80,False,PENDING_STANDARD_DERIVED_ITEM_JOIN,8105 core row still requires standard-derived structure/decomposition and item-level joins,join_8105_standard_sources_before_scoring,0,,NO_CNBE_WRITE,PILOT_EVIDENCE_JOIN_REVIEW_ONLY_NOT_SOURCE_EVIDENCE
8105_core_control_015,8105_core_control,U+5704,圄,8105_core,national_standard_core_pending_item_join,PASS_UNICODE_IDENTITY_FROM_EXISTING_INDEX,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,True,0,0,https://www.zdic.net/hans/%E5%9C%84,False,PENDING_STANDARD_DERIVED_ITEM_JOIN,8105 core row still requires standard-derived structure/decomposition and item-level joins,join_8105_standard_sources_before_scoring,0,,NO_CNBE_WRITE,PILOT_EVIDENCE_JOIN_REVIEW_ONLY_NOT_SOURCE_EVIDENCE
8105_core_control_016,8105_core_control,U+579F,垟,8105_core,national_standard_core_pending_item_join,PASS_UNICODE_IDENTITY_FROM_EXISTING_INDEX,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,False,1,0,https://www.zdic.net/hans/%E5%9E%9F,False,PENDING_STANDARD_DERIVED_ITEM_JOIN,8105 core row still requires standard-derived structure/decomposition and item-level joins,join_8105_standard_sources_before_scoring,0,,NO_CNBE_WRITE,PILOT_EVIDENCE_JOIN_REVIEW_ONLY_NOT_SOURCE_EVIDENCE
8105_core_control_017,8105_core_control,U+5851,塑,8105_core,national_standard_core_pending_item_join,PASS_UNICODE_IDENTITY_FROM_EXISTING_INDEX,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,True,8,0,https://www.zdic.net/hans/%E5%A1%91,False,PENDING_STANDARD_DERIVED_ITEM_JOIN,8105 core row still requires standard-derived structure/decomposition and item-level joins,join_8105_standard_sources_before_scoring,0,,NO_CNBE_WRITE,PILOT_EVIDENCE_JOIN_REVIEW_ONLY_NOT_SOURCE_EVIDENCE
8105_core_control_018,8105_core_control,U+5951,契,8105_core,national_standard_core_pending_item_join,PASS_UNICODE_IDENTITY_FROM_EXISTING_INDEX,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,True,8,0,https://www.zdic.net/hans/%E5%A5%91,False,PENDING_STANDARD_DERIVED_ITEM_JOIN,8105 core row still requires standard-derived structure/decomposition and item-level joins,join_8105_standard_sources_before_scoring,0,,NO_CNBE_WRITE,PILOT_EVIDENCE_JOIN_REVIEW_ONLY_NOT_SOURCE_EVIDENCE
8105_core_control_019,8105_core_control,U+5A05,娅,8105_core,national_standard_core_pending_item_join,PASS_UNICODE_IDENTITY_FROM_EXISTING_INDEX,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,1,nlp_han_dicts_kangxi_4w,True,8,0,https://www.zdic.net/hans/%E5%A8%85,False,PENDING_STANDARD_DERIVED_ITEM_JOIN,8105 core row still requires standard-derived structure/decomposition and item-level joins,join_8105_standard_sources_before_scoring,0,,NO_CNBE_WRITE,PILOT_EVIDENCE_JOIN_REVIEW_ONLY_NOT_SOURCE_EVIDENCE
8105_core_control_020,8105_core_control,U+5AED,嫭,8105_core,national_standard_core_pending_item_join,PASS_UNICODE_IDENTITY_FROM_EXISTING_INDEX,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,False,0,0,https://www.zdic.net/hans/%E5%AB%AD,False,PENDING_STANDARD_DERIVED_ITEM_JOIN,8105 core row still requires standard-derived structure/decomposition and item-level joins,join_8105_standard_sources_before_scoring,0,,NO_CNBE_WRITE,PILOT_EVIDENCE_JOIN_REVIEW_ONLY_NOT_SOURCE_EVIDENCE
8105_core_control_021,8105_core_control,U+5BBF,宿,8105_core,national_standard_core_pending_item_join,PASS_UNICODE_IDENTITY_FROM_EXISTING_INDEX,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,True,8,0,https://www.zdic.net/hans/%E5%AE%BF,False,PENDING_STANDARD_DERIVED_ITEM_JOIN,8105 core row still requires standard-derived structure/decomposition and item-level joins,join_8105_standard_sources_before_scoring,0,,NO_CNBE_WRITE,PILOT_EVIDENCE_JOIN_REVIEW_ONLY_NOT_SOURCE_EVIDENCE
8105_core_control_022,8105_core_control,U+5C7C,屼,8105_core,national_standard_core_pending_item_join,PASS_UNICODE_IDENTITY_FROM_EXISTING_INDEX,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,False,0,0,https://www.zdic.net/hans/%E5%B1%BC,False,PENDING_STANDARD_DERIVED_ITEM_JOIN,8105 core row still requires standard-derived structure/decomposition and item-level joins,join_8105_standard_sources_before_scoring,0,,NO_CNBE_WRITE,PILOT_EVIDENCE_JOIN_REVIEW_ONLY_NOT_SOURCE_EVIDENCE
8105_core_control_023,8105_core_control,U+5D36,崶,8105_core,national_standard_core_pending_item_join,PASS_UNICODE_IDENTITY_FROM_EXISTING_INDEX,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,False,0,0,https://www.zdic.net/hans/%E5%B4%B6,False,PENDING_STANDARD_DERIVED_ITEM_JOIN,8105 core row still requires standard-derived structure/decomposition and item-level joins,join_8105_standard_sources_before_scoring,0,,NO_CNBE_WRITE,PILOT_EVIDENCE_JOIN_REVIEW_ONLY_NOT_SOURCE_EVIDENCE
8105_core_control_024,8105_core_control,U+5E37,帷,8105_core,national_standard_core_pending_item_join,PASS_UNICODE_IDENTITY_FROM_EXISTING_INDEX,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,True,8,0,https://www.zdic.net/hans/%E5%B8%B7,False,PENDING_STANDARD_DERIVED_ITEM_JOIN,8105 core row still requires standard-derived structure/decomposition and item-level joins,join_8105_standard_sources_before_scoring,0,,NO_CNBE_WRITE,PILOT_EVIDENCE_JOIN_REVIEW_ONLY_NOT_SOURCE_EVIDENCE
8105_core_control_025,8105_core_control,U+5F07,弇,8105_core,national_standard_core_pending_item_join,PASS_UNICODE_IDENTITY_FROM_EXISTING_INDEX,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,True,0,0,https://www.zdic.net/hans/%E5%BC%87,False,PENDING_STANDARD_DERIVED_ITEM_JOIN,8105 core row still requires standard-derived structure/decomposition and item-level joins,join_8105_standard_sources_before_scoring,0,,NO_CNBE_WRITE,PILOT_EVIDENCE_JOIN_REVIEW_ONLY_NOT_SOURCE_EVIDENCE
8105_core_control_026,8105_core_control,U+5FC9,忉,8105_core,national_standard_core_pending_item_join,PASS_UNICODE_IDENTITY_FROM_EXISTING_INDEX,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,True,0,0,https://www.zdic.net/hans/%E5%BF%89,False,PENDING_STANDARD_DERIVED_ITEM_JOIN,8105 core row still requires standard-derived structure/decomposition and item-level joins,join_8105_standard_sources_before_scoring,0,,NO_CNBE_WRITE,PILOT_EVIDENCE_JOIN_REVIEW_ONLY_NOT_SOURCE_EVIDENCE
8105_core_control_027,8105_core_control,U+606A,恪,8105_core,national_standard_core_pending_item_join,PASS_UNICODE_IDENTITY_FROM_EXISTING_INDEX,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,True,8,0,https://www.zdic.net/hans/%E6%81%AA,False,PENDING_STANDARD_DERIVED_ITEM_JOIN,8105 core row still requires standard-derived structure/decomposition and item-level joins,join_8105_standard_sources_before_scoring,0,,NO_CNBE_WRITE,PILOT_EVIDENCE_JOIN_REVIEW_ONLY_NOT_SOURCE_EVIDENCE
8105_core_control_028,8105_core_control,U+6109,愉,8105_core,national_standard_core_pending_item_join,PASS_UNICODE_IDENTITY_FROM_EXISTING_INDEX,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,True,8,0,https://www.zdic.net/hans/%E6%84%89,False,PENDING_STANDARD_DERIVED_ITEM_JOIN,8105 core row still requires standard-derived structure/decomposition and item-level joins,join_8105_standard_sources_before_scoring,0,,NO_CNBE_WRITE,PILOT_EVIDENCE_JOIN_REVIEW_ONLY_NOT_SOURCE_EVIDENCE
8105_core_control_029,8105_core_control,U+622D,戭,8105_core,national_standard_core_pending_item_join,PASS_UNICODE_IDENTITY_FROM_EXISTING_INDEX,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,False,0,0,https://www.zdic.net/hans/%E6%88%AD,False,PENDING_STANDARD_DERIVED_ITEM_JOIN,8105 core row still requires standard-derived structure/decomposition and item-level joins,join_8105_standard_sources_before_scoring,0,,NO_CNBE_WRITE,PILOT_EVIDENCE_JOIN_REVIEW_ONLY_NOT_SOURCE_EVIDENCE
8105_core_control_030,8105_core_control,U+62C6,拆,8105_core,national_standard_core_pending_item_join,PASS_UNICODE_IDENTITY_FROM_EXISTING_INDEX,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,True,8,0,https://www.zdic.net/hans/%E6%8B%86,False,PENDING_STANDARD_DERIVED_ITEM_JOIN,8105 core row still requires standard-derived structure/decomposition and item-level joins,join_8105_standard_sources_before_scoring,0,,NO_CNBE_WRITE,PILOT_EVIDENCE_JOIN_REVIEW_ONLY_NOT_SOURCE_EVIDENCE
8105_core_control_031,8105_core_control,U+6361,捡,8105_core,national_standard_core_pending_item_join,PASS_UNICODE_IDENTITY_FROM_EXISTING_INDEX,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,1,nlp_han_dicts_kangxi_4w,True,8,0,https://www.zdic.net/hans/%E6%8D%A1,False,PENDING_STANDARD_DERIVED_ITEM_JOIN,8105 core row still requires standard-derived structure/decomposition and item-level joins,join_8105_standard_sources_before_scoring,0,,NO_CNBE_WRITE,PILOT_EVIDENCE_JOIN_REVIEW_ONLY_NOT_SOURCE_EVIDENCE
8105_core_control_032,8105_core_control,U+6421,搡,8105_core,national_standard_core_pending_item_join,PASS_UNICODE_IDENTITY_FROM_EXISTING_INDEX,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,True,0,0,https://www.zdic.net/hans/%E6%90%A1,False,PENDING_STANDARD_DERIVED_ITEM_JOIN,8105 core row still requires standard-derived structure/decomposition and item-level joins,join_8105_standard_sources_before_scoring,0,,NO_CNBE_WRITE,PILOT_EVIDENCE_JOIN_REVIEW_ONLY_NOT_SOURCE_EVIDENCE
8105_core_control_033,8105_core_control,U+654F,敏,8105_core,national_standard_core_pending_item_join,PASS_UNICODE_IDENTITY_FROM_EXISTING_INDEX,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,True,8,0,https://www.zdic.net/hans/%E6%95%8F,False,PENDING_STANDARD_DERIVED_ITEM_JOIN,8105 core row still requires standard-derived structure/decomposition and item-level joins,join_8105_standard_sources_before_scoring,0,,NO_CNBE_WRITE,PILOT_EVIDENCE_JOIN_REVIEW_ONLY_NOT_SOURCE_EVIDENCE
8105_core_control_034,8105_core_control,U+6603,昃,8105_core,national_standard_core_pending_item_join,PASS_UNICODE_IDENTITY_FROM_EXISTING_INDEX,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,True,0,0,https://www.zdic.net/hans/%E6%98%83,False,PENDING_STANDARD_DERIVED_ITEM_JOIN,8105 core row still requires standard-derived structure/decomposition and item-level joins,join_8105_standard_sources_before_scoring,0,,NO_CNBE_WRITE,PILOT_EVIDENCE_JOIN_REVIEW_ONLY_NOT_SOURCE_EVIDENCE
8105_core_control_035,8105_core_control,U+66A8,暨,8105_core,national_standard_core_pending_item_join,PASS_UNICODE_IDENTITY_FROM_EXISTING_INDEX,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,1,nlp_han_dicts_kangxi_4w,True,8,0,https://www.zdic.net/hans/%E6%9A%A8,False,PENDING_STANDARD_DERIVED_ITEM_JOIN,8105 core row still requires standard-derived structure/decomposition and item-level joins,join_8105_standard_sources_before_scoring,0,,NO_CNBE_WRITE,PILOT_EVIDENCE_JOIN_REVIEW_ONLY_NOT_SOURCE_EVIDENCE
8105_core_control_036,8105_core_control,U+6770,杰,8105_core,national_standard_core_pending_item_join,PASS_UNICODE_IDENTITY_FROM_EXISTING_INDEX,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,True,8,0,https://www.zdic.net/hans/%E6%9D%B0,False,PENDING_STANDARD_DERIVED_ITEM_JOIN,8105 core row still requires standard-derived structure/decomposition and item-level joins,join_8105_standard_sources_before_scoring,0,,NO_CNBE_WRITE,PILOT_EVIDENCE_JOIN_REVIEW_ONLY_NOT_SOURCE_EVIDENCE
8105_core_control_037,8105_core_control,U+6810,栐,8105_core,national_standard_core_pending_item_join,PASS_UNICODE_IDENTITY_FROM_EXISTING_INDEX,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,1,nlp_han_dicts_zhonghua_dazidian,False,0,0,https://www.zdic.net/hans/%E6%A0%90,False,PENDING_STANDARD_DERIVED_ITEM_JOIN,8105 core row still requires standard-derived structure/decomposition and item-level joins,join_8105_standard_sources_before_scoring,0,,NO_CNBE_WRITE,PILOT_EVIDENCE_JOIN_REVIEW_ONLY_NOT_SOURCE_EVIDENCE
8105_core_control_038,8105_core_control,U+68C9,棉,8105_core,national_standard_core_pending_item_join,PASS_UNICODE_IDENTITY_FROM_EXISTING_INDEX,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,True,8,0,https://www.zdic.net/hans/%E6%A3%89,False,PENDING_STANDARD_DERIVED_ITEM_JOIN,8105 core row still requires standard-derived structure/decomposition and item-level joins,join_8105_standard_sources_before_scoring,0,,NO_CNBE_WRITE,PILOT_EVIDENCE_JOIN_REVIEW_ONLY_NOT_SOURCE_EVIDENCE
8105_core_control_039,8105_core_control,U+69A7,榧,8105_core,national_standard_core_pending_item_join,PASS_UNICODE_IDENTITY_FROM_EXISTING_INDEX,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,True,0,0,https://www.zdic.net/hans/%E6%A6%A7,False,PENDING_STANDARD_DERIVED_ITEM_JOIN,8105 core row still requires standard-derived structure/decomposition and item-level joins,join_8105_standard_sources_before_scoring,0,,NO_CNBE_WRITE,PILOT_EVIDENCE_JOIN_REVIEW_ONLY_NOT_SOURCE_EVIDENCE
8105_core_control_040,8105_core_control,U+6B49,歉,8105_core,national_standard_core_pending_item_join,PASS_UNICODE_IDENTITY_FROM_EXISTING_INDEX,CORE_8105_STRUCTURE_STANDARD_JOIN_REQUIRED,standard_derived_join_pending,join_8105_structure_decomposition_sources,2,nlp_han_dicts_kangxi_4w;nlp_han_dicts_zhonghua_dazidian,True,8,0,https://www.zdic.net/hans/%E6%AD%89,False,PENDING_STANDARD_DERIVED_ITEM_JOIN,8105 core row still requires standard-derived structure/decomposition and item-level joins,join_8105_standard_sources_before_scoring,0,,NO_CNBE_WRITE,PILOT_EVIDENCE_JOIN_REVIEW_ONLY_NOT_SOURCE_EVIDENCE
