row_id,character,unicode_codepoint,standard_rank,candidate_structure_label,candidate_decomposition,direct_component_candidates,radical,standard_evidence_status,base_assigned_score,component_validity_score,radical_validity_score,structure_first_decomposition_score,newly_assigned_score,assigned_score,formal_total,row_score_status,remaining_blocked_items,cnbe_write_status,database_rebuild_status
8105_full_0020,乃,U+4E43,20,右上包,⿹?丿,丿,丿,REVIEW_REQUIRED,6,0,0,0,0,6,50,BASE_SCORE_ONLY_STRUCTURE_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule;component_validity;radical_validity;structure_first_decomposition,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0021,又,U+53C8,21,独体字,?,又,又,REVIEW_REQUIRED,6,0,0,0,0,6,50,BASE_SCORE_ONLY_STRUCTURE_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule;component_validity;radical_validity;structure_first_decomposition,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0022,三,U+4E09,22,上下,⿱一二,一 二,一,COMPLETE,6,3,3,20,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0023,干,U+5E72,23,上下,⿱一十,一 十,十,COMPLETE,6,3,3,20,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0024,于,U+4E8E,24,镶嵌,⿻二亅,亅 二,二,COMPLETE,6,3,3,20,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0025,亏,U+4E8F,25,上下,⿱二?,二,二,REVIEW_REQUIRED,6,0,0,0,0,6,50,BASE_SCORE_ONLY_STRUCTURE_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule;component_validity;radical_validity;structure_first_decomposition,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0026,工,U+5DE5,26,上下,⿱一丄,一 丄,工,COMPLETE,6,3,3,20,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0027,土,U+571F,27,上下,⿱十一,一 十,土,COMPLETE,6,3,3,20,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0028,士,U+58EB,28,独体字,?,士,士,REVIEW_REQUIRED,6,0,0,0,0,6,50,BASE_SCORE_ONLY_STRUCTURE_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule;component_validity;radical_validity;structure_first_decomposition,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0029,才,U+624D,29,镶嵌,⿻扌?,扌,扌,REVIEW_REQUIRED,6,0,0,0,0,6,50,BASE_SCORE_ONLY_STRUCTURE_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule;component_validity;radical_validity;structure_first_decomposition,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0030,下,U+4E0B,30,上下,⿱一卜,卜 一,一,COMPLETE,6,3,3,20,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0031,寸,U+5BF8,31,独体字,?,寸,寸,REVIEW_REQUIRED,6,0,0,0,0,6,50,BASE_SCORE_ONLY_STRUCTURE_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule;component_validity;radical_validity;structure_first_decomposition,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0032,大,U+5927,32,镶嵌,⿻一人,人 一,大,COMPLETE,6,3,3,20,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0033,丈,U+4E08,33,镶嵌,⿻一又,又 一,一,COMPLETE,6,3,3,20,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0034,与,U+4E0E,34,右上包,⿹?一,一,一,REVIEW_REQUIRED,6,0,0,0,0,6,50,BASE_SCORE_ONLY_STRUCTURE_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule;component_validity;radical_validity;structure_first_decomposition,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0035,万,U+4E07,35,上下,⿱一?,一,一,REVIEW_REQUIRED,6,0,0,0,0,6,50,BASE_SCORE_ONLY_STRUCTURE_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule;component_validity;radical_validity;structure_first_decomposition,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0036,上,U+4E0A,36,上下,⿱⺊一,一,一,COMPLETE,6,3,3,20,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0037,小,U+5C0F,37,镶嵌,⿻亅八,亅 八,小,COMPLETE,6,3,3,20,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0038,口,U+53E3,38,上下,⿱冂一,一 冂,口,COMPLETE,6,3,3,20,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0039,山,U+5C71,39,下三包,⿶凵丨,丨 凵,山,COMPLETE,6,3,3,20,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0040,巾,U+5DFE,40,镶嵌,⿻冂丨,冂 丨,巾,COMPLETE,6,3,3,20,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0041,千,U+5343,41,上下,⿱丿十,丿 十,十,COMPLETE,6,3,3,20,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0042,乞,U+4E5E,42,上下,⿱?乙,乙,乙,REVIEW_REQUIRED,6,0,0,0,0,6,50,BASE_SCORE_ONLY_STRUCTURE_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule;component_validity;radical_validity;structure_first_decomposition,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0043,川,U+5DDD,43,左中右,⿲丿丨丨,丿 丨,川,COMPLETE,6,3,3,20,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0044,亿,U+4EBF,44,左右,⿰亻乙,亻 乙,亻,COMPLETE,6,3,3,20,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0045,个,U+4E2A,45,上下,⿱人丨,人 丨,丨,COMPLETE,6,3,3,20,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0046,夕,U+5915,46,镶嵌,⿻勹丶,勹 丶,夕,COMPLETE,6,3,3,20,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0047,久,U+4E45,47,镶嵌,⿻勹?,勹,丿,REVIEW_REQUIRED,6,0,0,0,0,6,50,BASE_SCORE_ONLY_STRUCTURE_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule;component_validity;radical_validity;structure_first_decomposition,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0048,么,U+4E48,48,上下,⿱丿厶,丿 厶,丿,COMPLETE,6,3,3,20,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0049,勺,U+52FA,49,右上包,⿹勹丶,勹 丶,勹,COMPLETE,6,3,3,20,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0050,凡,U+51E1,50,上三包,⿵几丶,几 丶,几,COMPLETE,6,3,3,20,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0051,丸,U+4E38,51,镶嵌,⿻九丶,丶 九,丶,COMPLETE,6,3,3,20,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0052,及,U+53CA,52,镶嵌,⿻?又,又,又,REVIEW_REQUIRED,6,0,0,0,0,6,50,BASE_SCORE_ONLY_STRUCTURE_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule;component_validity;radical_validity;structure_first_decomposition,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0053,广,U+5E7F,53,上下,⿱丶厂,厂 丶,广,COMPLETE,6,3,3,20,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0054,亡,U+4EA1,54,上下,⿱亠?,亠,亠,REVIEW_REQUIRED,6,0,0,0,0,6,50,BASE_SCORE_ONLY_STRUCTURE_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule;component_validity;radical_validity;structure_first_decomposition,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0055,门,U+95E8,55,左右,⿰⿱丶丨?,丨 丶,门,REVIEW_REQUIRED,6,0,0,0,0,6,50,BASE_SCORE_ONLY_STRUCTURE_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule;component_validity;radical_validity;structure_first_decomposition,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0056,丫,U+4E2B,56,上下,⿱丷丨,丨 丷,丨,COMPLETE,6,3,3,20,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0057,义,U+4E49,57,镶嵌,⿻丶乂,乂 丶,丿,COMPLETE,6,3,3,20,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0058,之,U+4E4B,58,上下,⿱丶?,丶,丿,REVIEW_REQUIRED,6,0,0,0,0,6,50,BASE_SCORE_ONLY_STRUCTURE_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule;component_validity;radical_validity;structure_first_decomposition,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0059,尸,U+5C38,59,左右,⿰丿?,丿,尸,REVIEW_REQUIRED,6,0,0,0,0,6,50,BASE_SCORE_ONLY_STRUCTURE_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule;component_validity;radical_validity;structure_first_decomposition,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0060,己,U+5DF1,60,上下,⿱?乚,乚,己,REVIEW_REQUIRED,6,0,0,0,0,6,50,BASE_SCORE_ONLY_STRUCTURE_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule;component_validity;radical_validity;structure_first_decomposition,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0061,已,U+5DF2,61,,?,已,己,REVIEW_REQUIRED,6,0,0,0,0,6,50,BASE_SCORE_ONLY_STRUCTURE_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule;component_validity;radical_validity;structure_first_decomposition,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0062,巳,U+5DF3,62,镶嵌,⿻乚?,乚,巳,REVIEW_REQUIRED,6,0,0,0,0,6,50,BASE_SCORE_ONLY_STRUCTURE_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule;component_validity;radical_validity;structure_first_decomposition,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0063,弓,U+5F13,63,独体字,?,弓,弓,REVIEW_REQUIRED,6,0,0,0,0,6,50,BASE_SCORE_ONLY_STRUCTURE_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule;component_validity;radical_validity;structure_first_decomposition,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0064,子,U+5B50,64,镶嵌,⿻了一,一 了,子,COMPLETE,6,3,3,20,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0065,卫,U+536B,65,上下,⿱乛一,一 乛,乛,COMPLETE,6,3,3,20,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0066,也,U+4E5F,66,镶嵌,⿻?乚,乚,乚,REVIEW_REQUIRED,6,0,0,0,0,6,50,BASE_SCORE_ONLY_STRUCTURE_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule;component_validity;radical_validity;structure_first_decomposition,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0067,女,U+5973,67,独体字,?,女,女,REVIEW_REQUIRED,6,0,0,0,0,6,50,BASE_SCORE_ONLY_STRUCTURE_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule;component_validity;radical_validity;structure_first_decomposition,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0068,刃,U+5203,68,右上包,⿹刀丶,刀 丶,刀,COMPLETE,6,3,3,20,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0069,飞,U+98DE,69,镶嵌,⿻??,,飞,REVIEW_REQUIRED,6,0,0,0,0,6,50,BASE_SCORE_ONLY_STRUCTURE_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule;component_validity;radical_validity;structure_first_decomposition,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0070,习,U+4E60,70,右上包,⿹?冫,冫,冫,REVIEW_REQUIRED,6,0,0,0,0,6,50,BASE_SCORE_ONLY_STRUCTURE_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule;component_validity;radical_validity;structure_first_decomposition,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0071,叉,U+53C9,71,全包围,⿴又丶,又 丶,又,COMPLETE,6,3,3,20,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0072,马,U+9A6C,72,右上包,⿹?一,一,马,REVIEW_REQUIRED,6,0,0,0,0,6,50,BASE_SCORE_ONLY_STRUCTURE_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule;component_validity;radical_validity;structure_first_decomposition,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0073,乡,U+4E61,73,,幺,乡,幺,REVIEW_REQUIRED,6,0,0,0,0,6,50,BASE_SCORE_ONLY_STRUCTURE_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule;component_validity;radical_validity;structure_first_decomposition,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0074,丰,U+4E30,74,镶嵌,⿻三丨,三 丨,丨,COMPLETE,6,3,3,20,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0075,王,U+738B,75,上下,⿱一土,一 土,王,COMPLETE,6,3,3,20,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0076,开,U+5F00,76,上下,⿱一廾,一 廾,廾,COMPLETE,6,3,3,20,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0077,井,U+4E95,77,镶嵌,⿻二?,二,二,REVIEW_REQUIRED,6,0,0,0,0,6,50,BASE_SCORE_ONLY_STRUCTURE_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule;component_validity;radical_validity;structure_first_decomposition,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0078,天,U+5929,78,上下,⿱一大,一 大,大,COMPLETE,6,3,3,20,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0079,夫,U+592B,79,镶嵌,⿻一大,一 大,大,COMPLETE,6,3,3,20,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0080,元,U+5143,80,上下,⿱二儿,儿 二,儿,COMPLETE,6,3,3,20,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0081,无,U+65E0,81,上下,⿱一尢,一 尢,无,COMPLETE,6,3,3,20,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0082,云,U+4E91,82,上下,⿱二厶,厶 二,二,COMPLETE,6,3,3,20,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0083,专,U+4E13,83,镶嵌,⿻?一,一,一,REVIEW_REQUIRED,6,0,0,0,0,6,50,BASE_SCORE_ONLY_STRUCTURE_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule;component_validity;radical_validity;structure_first_decomposition,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0084,丐,U+4E10,84,上下,⿱下?,下,一,REVIEW_REQUIRED,6,0,0,0,0,6,50,BASE_SCORE_ONLY_STRUCTURE_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule;component_validity;radical_validity;structure_first_decomposition,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0085,扎,U+624E,85,左右,⿰扌乚,扌 乚,扌,COMPLETE,6,3,3,20,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0086,艺,U+827A,86,上下,⿱艹乙,艹 乙,艹,COMPLETE,6,3,3,20,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0087,木,U+6728,87,镶嵌,⿻十八,十 八,木,COMPLETE,6,3,3,20,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD
8105_full_0088,五,U+4E94,88,全包围,⿴二?,二,二,REVIEW_REQUIRED,6,0,0,0,0,6,50,BASE_SCORE_ONLY_STRUCTURE_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule;component_validity;radical_validity;structure_first_decomposition,NO_CNBE_WRITE,NO_DATABASE_REBUILD
