char,unicode,standard_rank,repair_status,original_block_reason,radical_source,radical_source_status,radical_resolution_status,radical_resolution_reason,approved_radical,canonical_radical,proposed_radix,proposed_radix_name,approved_strokes,approved_structure,approved_struct_type,approved_decomposition,current_cnbe,current_cnbe_hex,current_radix,current_radix_name,current_strokes,current_struct_name,current_struct_type,current_index,current_ext,proposed_cnbe,proposed_cnbe_hex,roundtrip_pass,authority_boundary
邮,U+90AE,732,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_RIGHT_ALIAS,right 阝 resolved to 邑 from top-level decomposition position,阝,邑,163,邑,7,左右,3,⿰由阝,2738465504,0xA339AAE0,163,邑,7,左右,3,686,0,2738465504,0xA339AAE0,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
邻,U+90BB,801,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_RIGHT_ALIAS,right 阝 resolved to 邑 from top-level decomposition position,阝,邑,163,邑,7,左右,3,⿰令阝,2738465712,0xA339ABB0,163,邑,7,左右,3,699,0,2738465712,0xA339ABB0,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
际,U+9645,911,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_LEFT_ALIAS,left 阝 resolved to 阜 from top-level decomposition position,阝,阜,170,阜,7,左右,3,⿰阝示,2855896144,0xAA398450,170,阜,7,左右,3,69,0,2855896144,0xAA398450,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
陆,U+9646,912,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_LEFT_ALIAS,left 阝 resolved to 阜 from top-level decomposition position,阝,阜,170,阜,7,左右,3,⿰阝击,2855896160,0xAA398460,170,阜,7,左右,3,70,0,2855896160,0xAA398460,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
阿,U+963F,913,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_LEFT_ALIAS,left 阝 resolved to 阜 from top-level decomposition position,阝,阜,170,阜,7,左右,3,⿰阝可,2855896048,0xAA3983F0,170,阜,7,左右,3,63,0,2855896048,0xAA3983F0,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
陈,U+9648,914,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_LEFT_ALIAS,left 阝 resolved to 阜 from top-level decomposition position,阝,阜,170,阜,7,左右,3,⿰阝东,2855896192,0xAA398480,170,阜,7,左右,3,72,0,2855896192,0xAA398480,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
阻,U+963B,915,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_LEFT_ALIAS,left 阝 resolved to 阜 from top-level decomposition position,阝,阜,170,阜,7,左右,3,⿰阝且,2855895984,0xAA3983B0,170,阜,7,左右,3,59,0,2855895984,0xAA3983B0,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
附,U+9644,916,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_LEFT_ALIAS,left 阝 resolved to 阜 from top-level decomposition position,阝,阜,170,阜,7,左右,3,⿰阝付,2855896128,0xAA398440,170,阜,7,左右,3,68,0,2855896128,0xAA398440,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
郁,U+90C1,1043,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_RIGHT_ALIAS,right 阝 resolved to 邑 from top-level decomposition position,阝,邑,163,邑,8,左右,3,⿰有阝,2738990096,0xA341AC10,163,邑,8,左右,3,705,0,2738990096,0xA341AC10,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
郊,U+90CA,1218,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_RIGHT_ALIAS,right 阝 resolved to 邑 from top-level decomposition position,阝,邑,163,邑,8,左右,3,⿰交阝,2738990240,0xA341ACA0,163,邑,8,左右,3,714,0,2738990240,0xA341ACA0,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
郑,U+90D1,1229,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_RIGHT_ALIAS,right 阝 resolved to 邑 from top-level decomposition position,阝,邑,163,邑,8,左右,3,⿰关阝,2738990352,0xA341AD10,163,邑,8,左右,3,721,0,2738990352,0xA341AD10,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
郎,U+90CE,1287,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_RIGHT_ALIAS,right 阝 resolved to 邑 from top-level decomposition position,阝,邑,163,邑,8,左右,3,⿰⿱丶⑤阝,2738990304,0xA341ACE0,163,邑,8,左右,3,718,0,2738990304,0xA341ACE0,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
陋,U+964B,1317,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_LEFT_ALIAS,left 阝 resolved to 阜 from top-level decomposition position,阝,阜,170,阜,8,左右,3,⿰阝𫠥,2856420528,0xAA4184B0,170,阜,8,左右,3,75,0,2856420528,0xAA4184B0,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
陌,U+964C,1318,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_LEFT_ALIAS,left 阝 resolved to 阜 from top-level decomposition position,阝,阜,170,阜,8,左右,3,⿰阝百,2856420544,0xAA4184C0,170,阜,8,左右,3,76,0,2856420544,0xAA4184C0,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
陕,U+9655,1320,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_LEFT_ALIAS,left 阝 resolved to 阜 from top-level decomposition position,阝,阜,170,阜,8,左右,3,⿰阝夹,2856420688,0xAA418550,170,阜,8,左右,3,85,0,2856420688,0xAA418550,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
降,U+964D,1321,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_LEFT_ALIAS,left 阝 resolved to 阜 from top-level decomposition position,阝,阜,170,阜,8,左右,3,⿰阝夅,2856420560,0xAA4184D0,170,阜,8,左右,3,77,0,2856420560,0xAA4184D0,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
限,U+9650,1323,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_LEFT_ALIAS,left 阝 resolved to 阜 from top-level decomposition position,阝,阜,170,阜,8,左右,3,⿰阝艮,2856420608,0xAA418500,170,阜,8,左右,3,80,0,2856420608,0xAA418500,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
陡,U+9661,1727,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_LEFT_ALIAS,left 阝 resolved to 阜 from top-level decomposition position,阝,阜,170,阜,9,左右,3,⿰阝走,2856945168,0xAA498610,170,阜,9,左右,3,97,0,2856945168,0xAA498610,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
陨,U+9668,1731,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_LEFT_ALIAS,left 阝 resolved to 阜 from top-level decomposition position,阝,阜,170,阜,9,左右,3,⿰阝员,2856945280,0xAA498680,170,阜,9,左右,3,104,0,2856945280,0xAA498680,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
除,U+9664,1732,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_LEFT_ALIAS,left 阝 resolved to 阜 from top-level decomposition position,阝,阜,170,阜,9,左右,3,⿰阝余,2856945216,0xAA498640,170,阜,9,左右,3,100,0,2856945216,0xAA498640,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
险,U+9669,1733,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_LEFT_ALIAS,left 阝 resolved to 阜 from top-level decomposition position,阝,阜,170,阜,9,左右,3,⿰阝佥,2856945296,0xAA498690,170,阜,9,左右,3,105,0,2856945296,0xAA498690,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
院,U+9662,1734,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_LEFT_ALIAS,left 阝 resolved to 阜 from top-level decomposition position,阝,阜,170,阜,9,左右,3,⿰阝完,2856945184,0xAA498620,170,阜,9,左右,3,98,0,2856945184,0xAA498620,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
都,U+90FD,1801,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_RIGHT_ALIAS,right 阝 resolved to 邑 from top-level decomposition position,阝,邑,163,邑,10,左右,3,⿰者阝,2740039632,0xA351AFD0,163,邑,10,左右,3,765,0,2740039632,0xA351AFD0,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
郭,U+90ED,2022,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_RIGHT_ALIAS,right 阝 resolved to 邑 from top-level decomposition position,阝,邑,163,邑,10,左右,3,⿰享阝,2740039376,0xA351AED0,163,邑,10,左右,3,749,0,2740039376,0xA351AED0,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
部,U+90E8,2044,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_RIGHT_ALIAS,right 阝 resolved to 邑 from top-level decomposition position,阝,邑,163,邑,10,左右,3,⿰咅阝,2740039296,0xA351AE80,163,邑,10,左右,3,744,0,2740039296,0xA351AE80,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
陵,U+9675,2135,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_LEFT_ALIAS,left 阝 resolved to 阜 from top-level decomposition position,阝,阜,170,阜,10,左右,3,⿰阝夌,2857469776,0xAA518750,170,阜,10,左右,3,117,0,2857469776,0xAA518750,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
陶,U+9676,2137,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_LEFT_ALIAS,left 阝 resolved to 阜 from top-level decomposition position,阝,阜,170,阜,10,左右,3,⿰阝匋,2857469792,0xAA518760,170,阜,10,左右,3,118,0,2857469792,0xAA518760,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
陷,U+9677,2138,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_LEFT_ALIAS,left 阝 resolved to 阜 from top-level decomposition position,阝,阜,170,阜,10,左右,3,⿰阝臽,2857469808,0xAA518770,170,阜,10,左右,3,119,0,2857469808,0xAA518770,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
陪,U+966A,2139,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_LEFT_ALIAS,left 阝 resolved to 阜 from top-level decomposition position,阝,阜,170,阜,10,左右,3,⿰阝咅,2857469600,0xAA5186A0,170,阜,10,左右,3,106,0,2857469600,0xAA5186A0,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
鄂,U+9102,2283,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_RIGHT_ALIAS,right 阝 resolved to 邑 from top-level decomposition position,阝,邑,163,邑,11,左右,3,⿰咢阝,2740564000,0xA359B020,163,邑,11,左右,3,770,0,2740564000,0xA359B020,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
隋,U+968B,2474,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_LEFT_ALIAS,left 阝 resolved to 阜 from top-level decomposition position,阝,阜,170,阜,11,左右,3,⿰阝⿱左月,2857994416,0xAA5988B0,170,阜,11,左右,3,139,0,2857994416,0xAA5988B0,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
随,U+968F,2476,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_LEFT_ALIAS,left 阝 resolved to 阜 from top-level decomposition position,阝,阜,170,阜,11,左右,3,⿰阝迶,2857994480,0xAA5988F0,170,阜,11,左右,3,143,0,2857994480,0xAA5988F0,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
隅,U+9685,2478,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_LEFT_ALIAS,left 阝 resolved to 阜 from top-level decomposition position,阝,阜,170,阜,11,左右,3,⿰阝禺,2857994320,0xAA598850,170,阜,11,左右,3,133,0,2857994320,0xAA598850,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
隆,U+9686,2479,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_LEFT_ALIAS,left 阝 resolved to 阜 from top-level decomposition position,阝,阜,170,阜,11,左右,3,⿰阝㚅,2857994336,0xAA598860,170,阜,11,左右,3,134,0,2857994336,0xAA598860,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
隐,U+9690,2480,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_LEFT_ALIAS,left 阝 resolved to 阜 from top-level decomposition position,阝,阜,170,阜,11,左右,3,⿰阝急,2857994496,0xAA598900,170,阜,11,左右,3,144,0,2857994496,0xAA598900,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
隔,U+9694,2805,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_LEFT_ALIAS,left 阝 resolved to 阜 from top-level decomposition position,阝,阜,170,阜,12,左右,3,⿰阝鬲,2858518848,0xAA618940,170,阜,12,左右,3,148,0,2858518848,0xAA618940,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
隙,U+9699,2806,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_LEFT_ALIAS,left 阝 resolved to 阜 from top-level decomposition position,阝,阜,170,阜,12,左右,3,⿰阝𡭴,2858518928,0xAA618990,170,阜,12,左右,3,153,0,2858518928,0xAA618990,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
隘,U+9698,2807,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_LEFT_ALIAS,left 阝 resolved to 阜 from top-level decomposition position,阝,阜,170,阜,12,左右,3,⿰阝益,2858518912,0xAA618980,170,阜,12,左右,3,152,0,2858518912,0xAA618980,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
鄙,U+9119,2903,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_RIGHT_ALIAS,right 阝 resolved to 邑 from top-level decomposition position,阝,邑,163,邑,13,左右,3,⿰啚阝,2741612944,0xA369B190,163,邑,13,左右,3,793,0,2741612944,0xA369B190,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
障,U+969C,3038,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_LEFT_ALIAS,left 阝 resolved to 阜 from top-level decomposition position,阝,阜,170,阜,13,左右,3,⿰阝章,2859043264,0xAA6989C0,170,阜,13,左右,3,156,0,2859043264,0xAA6989C0,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
隧,U+96A7,3182,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_LEFT_ALIAS,left 阝 resolved to 阜 from top-level decomposition position,阝,阜,170,阜,14,左右,3,⿰阝遂,2859567728,0xAA718A70,170,阜,14,左右,3,167,0,2859567728,0xAA718A70,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
邗,U+9097,3528,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_RIGHT_ALIAS,right 阝 resolved to 邑 from top-level decomposition position,阝,邑,163,邑,5,左右,3,⿰干阝,2737416560,0xA329A970,163,邑,5,左右,3,663,0,2737416560,0xA329A970,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
邛,U+909B,3529,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_RIGHT_ALIAS,right 阝 resolved to 邑 from top-level decomposition position,阝,邑,163,邑,5,左右,3,⿰工阝,2737416624,0xA329A9B0,163,邑,5,左右,3,667,0,2737416624,0xA329A9B0,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
邝,U+909D,3551,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_RIGHT_ALIAS,right 阝 resolved to 邑 from top-level decomposition position,阝,邑,163,邑,5,左右,3,⿰广阝,2737416656,0xA329A9D0,163,邑,5,左右,3,669,0,2737416656,0xA329A9D0,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
