char,unicode,standard_rank,block_reason,resolution_class,next_required_action,approved_radical,approved_strokes,approved_agent_structure,approved_agent_struct_type,source_model_presence,current_index_recoverable,decoded_current_index,decoded_ext,write_status,database_status,repair_status,remaining_reason,remaining_detail
兼,U+517C,2056,radical_resolution_blocked,requires_component_to_radical_policy_review,Approved radical label is a component or stroke-like form that is not safely mapped to a CNBE32 radix yet.,丷,10,独体字,0,present,True,892,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,radical_resolution_blocked,component-like label; no conservative modern radical code assignment in this phase.
兽,U+517D,2407,radical_resolution_blocked,requires_component_to_radical_policy_review,Approved radical label is a component or stroke-like form that is not safely mapped to a CNBE32 radix yet.,丷,11,上中下,2,present,True,893,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,radical_resolution_blocked,component-like label; no conservative modern radical code assignment in this phase.
乜,U+4E5C,3502,radical_resolution_blocked,requires_component_to_radical_policy_review,Approved radical label is a component or stroke-like form that is not safely mapped to a CNBE32 radix yet.,乚,2,镶嵌,12,present,True,92,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,radical_resolution_blocked,stroke/component-like label; no conservative radical assignment in this phase.
兀,U+5140,3503,radical_resolution_blocked,requires_component_to_radical_policy_review,Approved radical label is a component or stroke-like form that is not safely mapped to a CNBE32 radix yet.,兀,3,上下,1,present,True,832,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,radical_resolution_blocked,component-like label; ambiguous against 儿 in this evidence layer.
孑,U+5B51,3505,radical_resolution_blocked,requires_radical_alias_extension_review,Approved radical label is outside the conservative radical map and needs an audited alias or fallback policy.,孑,3,独体字,0,present,True,1361,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,radical_resolution_blocked,no conservative mapping rule in this phase
毋,U+6BCB,3527,radical_resolution_blocked,requires_radical_alias_extension_review,Approved radical label is outside the conservative radical map and needs an audited alias or fallback policy.,毋,4,独体字,0,present,True,1483,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,radical_resolution_blocked,no conservative mapping rule in this phase
匜,U+531C,3536,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左三包,7,present,True,1308,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,missing_radical_after_cross_reference_join,No approved or cached radical found.
乩,U+4E69,3590,radical_resolution_blocked,requires_component_to_radical_policy_review,Approved radical label is a component or stroke-like form that is not safely mapped to a CNBE32 radix yet.,乚,6,左右,3,present,True,105,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,radical_resolution_blocked,stroke/component-like label; no conservative radical assignment in this phase.
厾,U+53BE,3637,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,右上包,6,present,True,1470,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,missing_radical_after_cross_reference_join,No approved or cached radical found.
㧐,U+39D0,3658,missing_current_model_row,requires_index_allocation_and_source_row_insertion_plan,"8105 character is absent from the current 20,902-row runtime model; no current index/ext can be preserved.",,,左右,3,missing,False,,,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,missing_current_model_row,No runtime index/ext exists to preserve.
牤,U+7264,3727,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,1124,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,missing_radical_after_cross_reference_join,No approved or cached radical found.
玭,U+73AD,3828,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,1453,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,missing_radical_after_cross_reference_join,No approved or cached radical found.
玠,U+73A0,3829,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,1440,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,missing_radical_after_cross_reference_join,No approved or cached radical found.
玥,U+73A5,3831,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,1445,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,missing_radical_after_cross_reference_join,No approved or cached radical found.
玦,U+73A6,3832,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,1446,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,missing_radical_after_cross_reference_join,No approved or cached radical found.
㧟,U+39DF,3848,missing_current_model_row,requires_index_allocation_and_source_row_insertion_plan,"8105 character is absent from the current 20,902-row runtime model; no current index/ext can be preserved.",,,左右,3,missing,False,,,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,missing_current_model_row,No runtime index/ext exists to preserve.
䏝,U+43DD,3978,missing_current_model_row,requires_index_allocation_and_source_row_insertion_plan,"8105 character is absent from the current 20,902-row runtime model; no current index/ext can be preserved.",,,左右,3,missing,False,,,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,missing_current_model_row,No runtime index/ext exists to preserve.
𬉼,U+2C27C,4004,missing_current_model_row,requires_index_allocation_and_source_row_insertion_plan,"8105 character is absent from the current 20,902-row runtime model; no current index/ext can be preserved.",,,左右,3,missing,False,,,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,missing_current_model_row,No runtime index/ext exists to preserve.
㤘,U+3918,4031,missing_current_model_row,requires_index_allocation_and_source_row_insertion_plan,"8105 character is absent from the current 20,902-row runtime model; no current index/ext can be preserved.",,,左右,3,missing,False,,,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,missing_current_model_row,No runtime index/ext exists to preserve.
垱,U+57B1,4101,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,433,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,missing_radical_after_cross_reference_join,No approved or cached radical found.
挦,U+6326,4106,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,1318,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,missing_radical_after_cross_reference_join,No approved or cached radical found.
柈,U+67C8,4157,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,456,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,missing_radical_after_cross_reference_join,No approved or cached radical found.
𠳐,U+20CD0,4190,missing_current_model_row,requires_index_allocation_and_source_row_insertion_plan,"8105 character is absent from the current 20,902-row runtime model; no current index/ext can be preserved.",,,左右,3,missing,False,,,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,missing_current_model_row,No runtime index/ext exists to preserve.
眊,U+770A,4193,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,266,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,missing_radical_after_cross_reference_join,No approved or cached radical found.
峣,U+5CE3,4231,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,1763,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,missing_radical_after_cross_reference_join,No approved or cached radical found.
闿,U+95FF,4318,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,上三包,9,present,True,2047,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,missing_radical_after_cross_reference_join,No approved or cached radical found.
琤,U+7424,4409,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,1572,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,missing_radical_after_cross_reference_join,No approved or cached radical found.
栟,U+681F,4461,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,543,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,missing_radical_after_cross_reference_join,No approved or cached radical found.
䥽,U+497D,4546,missing_current_model_row,requires_index_allocation_and_source_row_insertion_plan,"8105 character is absent from the current 20,902-row runtime model; no current index/ext can be preserved.",,,左右,3,missing,False,,,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,missing_current_model_row,No runtime index/ext exists to preserve.
盉,U+76C9,4555,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,上下,1,present,True,201,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,missing_radical_after_cross_reference_join,No approved or cached radical found.
俵,U+4FF5,4563,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,501,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,missing_radical_after_cross_reference_join,No approved or cached radical found.
俶,U+4FF6,4566,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,502,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,missing_radical_after_cross_reference_join,No approved or cached radical found.
浥,U+6D65,4653,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,1893,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,missing_radical_after_cross_reference_join,No approved or cached radical found.
牂,U+7242,4684,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,1090,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,missing_radical_after_cross_reference_join,No approved or cached radical found.
骎,U+9A8E,4706,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,1166,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,missing_radical_after_cross_reference_join,No approved or cached radical found.
琇,U+7407,4714,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,1543,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,missing_radical_after_cross_reference_join,No approved or cached radical found.
惇,U+60C7,4991,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,711,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,missing_radical_after_cross_reference_join,No approved or cached radical found.
郿,U+90FF,5011,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,767,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,missing_radical_after_cross_reference_join,No approved or cached radical found.
琫,U+742B,5042,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,1579,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,missing_radical_after_cross_reference_join,No approved or cached radical found.
琯,U+742F,5053,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,1583,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,missing_radical_after_cross_reference_join,No approved or cached radical found.
揳,U+63F3,5059,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,1523,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,missing_radical_after_cross_reference_join,No approved or cached radical found.
塆,U+5846,5074,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,582,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,missing_radical_after_cross_reference_join,No approved or cached radical found.
靰,U+9770,5081,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,368,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,missing_radical_after_cross_reference_join,No approved or cached radical found.
靸,U+9778,5082,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,376,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,missing_radical_after_cross_reference_join,No approved or cached radical found.
铻,U+94FB,5178,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,1787,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,missing_radical_after_cross_reference_join,No approved or cached radical found.
鲀,U+9C80,5236,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,1664,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,missing_radical_after_cross_reference_join,No approved or cached radical found.
湜,U+6E5C,5281,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,92,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,missing_radical_after_cross_reference_join,No approved or cached radical found.
湲,U+6E72,5288,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,114,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,missing_radical_after_cross_reference_join,No approved or cached radical found.
愔,U+6114,5300,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,788,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,missing_radical_after_cross_reference_join,No approved or cached radical found.
祾,U+797E,5308,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,894,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,missing_radical_after_cross_reference_join,No approved or cached radical found.
巽,U+5DFD,5318,radical_resolution_blocked,requires_shape_group_disambiguation,Approved radical label belongs to an ambiguous shape group and needs explicit standard-source disambiguation.,巳,12,上下,1,present,True,2045,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,radical_resolution_blocked,ambiguous against 己/已/巳 shape group in this evidence layer.
翚,U+7FDA,5324,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,上下,1,present,True,474,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,missing_radical_after_cross_reference_join,No approved or cached radical found.
楯,U+696F,5400,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,879,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,missing_radical_after_cross_reference_join,No approved or cached radical found.
跐,U+8DD0,5455,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,2000,0,NO_RUNTIME_WRITE_FOR_THIS_ROW,NO_DATABASE_REBUILD,REMAINING_RUNTIME_BLOCKER,missing_radical_after_cross_reference_join,No approved or cached radical found.
