row_id,character,unicode_codepoint,standard_rank,current_structure,current_decomposition,tool_structure,tool_struct_type,tool_decomposition,tool_top_level_parts,tool_status,authority_boundary,candidate_encoding_status,cnbe32_write_status,database_rebuild_status,review_status
8105_full_0013,匕,U+5315,13,左下包,⿺乚丿,独体字,0,匕,,TOOL_CONFLICT_REVIEW_REQUIRED,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0014,几,U+51E0,14,左右,⿰丿乙,独体字,0,几,,TOOL_CONFLICT_REVIEW_REQUIRED,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0015,九,U+4E5D,15,镶嵌,⿻丿乙,独体字,0,九,,TOOL_CONFLICT_REVIEW_REQUIRED,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0016,刁,U+5201,16,独体字,刁,独体字,0,刁,,TOOL_CONFIRMS_CURRENT,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0017,了,U+4E86,17,上下,⿱乛亅,独体字,0,了,,TOOL_CONFLICT_REVIEW_REQUIRED,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0018,刀,U+5200,18,右上包,⿹?丿,独体字,0,刀,,TOOL_CONFLICT_REVIEW_REQUIRED,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0019,力,U+529B,19,镶嵌,⿻丿?,独体字,0,力,,TOOL_CONFLICT_REVIEW_REQUIRED,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0020,乃,U+4E43,20,右上包,⿹?丿,独体字,0,乃,,TOOL_CONFLICT_REVIEW_REQUIRED,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0021,又,U+53C8,21,独体字,又,独体字,0,又,,TOOL_CONFIRMS_CURRENT,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0022,三,U+4E09,22,上下,⿱一二,独体字,0,三,,TOOL_CONFLICT_REVIEW_REQUIRED,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0023,干,U+5E72,23,上下,⿱一十,独体字,0,干,,TOOL_CONFLICT_REVIEW_REQUIRED,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0024,于,U+4E8E,24,镶嵌,⿻二亅,独体字,0,于,,TOOL_CONFLICT_REVIEW_REQUIRED,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0025,亏,U+4E8F,25,上下,⿱二?,上下,1,⿱一丂,一 丂,TOOL_CONFIRMS_CURRENT,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0026,工,U+5DE5,26,上下,⿱一丄,独体字,0,工,,TOOL_CONFLICT_REVIEW_REQUIRED,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0027,土,U+571F,27,上下,⿱十一,独体字,0,土,,TOOL_CONFLICT_REVIEW_REQUIRED,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0028,士,U+58EB,28,独体字,士,独体字,0,士,,TOOL_CONFIRMS_CURRENT,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0029,才,U+624D,29,镶嵌,⿻扌?,独体字,0,才,,TOOL_CONFLICT_REVIEW_REQUIRED,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0030,下,U+4E0B,30,上下,⿱一卜,独体字,0,下,,TOOL_CONFLICT_REVIEW_REQUIRED,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0031,寸,U+5BF8,31,独体字,寸,独体字,0,寸,,TOOL_CONFIRMS_CURRENT,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0032,大,U+5927,32,镶嵌,⿻一人,独体字,0,大,,TOOL_CONFLICT_REVIEW_REQUIRED,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0033,丈,U+4E08,33,镶嵌,⿻一又,独体字,0,丈,,TOOL_CONFLICT_REVIEW_REQUIRED,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0034,与,U+4E0E,34,右上包,⿹?一,独体字,0,与,,TOOL_CONFLICT_REVIEW_REQUIRED,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0035,万,U+4E07,35,上下,⿱一?,独体字,0,万,,TOOL_CONFLICT_REVIEW_REQUIRED,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0036,上,U+4E0A,36,上下,⿱⺊一,独体字,0,上,,TOOL_CONFLICT_REVIEW_REQUIRED,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0037,小,U+5C0F,37,镶嵌,⿻亅八,独体字,0,小,,TOOL_CONFLICT_REVIEW_REQUIRED,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0038,口,U+53E3,38,上下,⿱冂一,独体字,0,口,,TOOL_CONFLICT_REVIEW_REQUIRED,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0039,山,U+5C71,39,下三包,⿶凵丨,独体字,0,山,,TOOL_CONFLICT_REVIEW_REQUIRED,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0040,巾,U+5DFE,40,镶嵌,⿻冂丨,独体字,0,巾,,TOOL_CONFLICT_REVIEW_REQUIRED,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0041,千,U+5343,41,上下,⿱丿十,独体字,0,千,,TOOL_CONFLICT_REVIEW_REQUIRED,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0042,乞,U+4E5E,42,上下,⿱?乙,上下,1,⿱𠂉乙,𠂉 乙,TOOL_CONFIRMS_CURRENT,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0043,川,U+5DDD,43,左中右,⿲丿丨丨,独体字,0,川,,TOOL_CONFLICT_REVIEW_REQUIRED,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0044,亿,U+4EBF,44,左右,⿰亻乙,左右,3,⿰亻乙,亻 乙,TOOL_CONFIRMS_CURRENT,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0045,个,U+4E2A,45,上下,⿱人丨,独体字,0,个,,TOOL_CONFLICT_REVIEW_REQUIRED,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0046,夕,U+5915,46,镶嵌,⿻勹丶,独体字,0,夕,,TOOL_CONFLICT_REVIEW_REQUIRED,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0047,久,U+4E45,47,镶嵌,⿻勹?,独体字,0,久,,TOOL_CONFLICT_REVIEW_REQUIRED,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0048,么,U+4E48,48,上下,⿱丿厶,独体字,0,么,,TOOL_CONFLICT_REVIEW_REQUIRED,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0049,勺,U+52FA,49,右上包,⿹勹丶,右上包,6,⿹勹丶,勹 丶,TOOL_CONFIRMS_CURRENT,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0050,凡,U+51E1,50,上三包,⿵几丶,独体字,0,凡,,TOOL_CONFLICT_REVIEW_REQUIRED,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0051,丸,U+4E38,51,镶嵌,⿻九丶,独体字,0,丸,,TOOL_CONFLICT_REVIEW_REQUIRED,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0052,及,U+53CA,52,镶嵌,⿻?又,独体字,0,及,,TOOL_CONFLICT_REVIEW_REQUIRED,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0053,广,U+5E7F,53,上下,⿱丶厂,独体字,0,广,,TOOL_CONFLICT_REVIEW_REQUIRED,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0054,亡,U+4EA1,54,上下,⿱亠?,独体字,0,亡,,TOOL_CONFLICT_REVIEW_REQUIRED,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0055,门,U+95E8,55,左右,⿰⿱丶丨?,独体字,0,门,,TOOL_CONFLICT_REVIEW_REQUIRED,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0056,丫,U+4E2B,56,上下,⿱丷丨,独体字,0,丫,,TOOL_CONFLICT_REVIEW_REQUIRED,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0057,义,U+4E49,57,镶嵌,⿻丶乂,独体字,0,义,,TOOL_CONFLICT_REVIEW_REQUIRED,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0058,之,U+4E4B,58,上下,⿱丶?,独体字,0,之,,TOOL_CONFLICT_REVIEW_REQUIRED,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0059,尸,U+5C38,59,左右,⿰丿?,独体字,0,尸,,TOOL_CONFLICT_REVIEW_REQUIRED,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0060,己,U+5DF1,60,上下,⿱?乚,独体字,0,己,,TOOL_CONFLICT_REVIEW_REQUIRED,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0061,已,U+5DF2,61,,?,独体字,0,已,,TOOL_FILLS_CURRENT_GAP_REVIEW_REQUIRED,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,AGENT_STRUCTURE_CODE_CANDIDATE_REVIEW_REQUIRED,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0062,巳,U+5DF3,62,镶嵌,⿻乚?,独体字,0,巳,,TOOL_CONFLICT_REVIEW_REQUIRED,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0063,弓,U+5F13,63,独体字,弓,独体字,0,弓,,TOOL_CONFIRMS_CURRENT,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0064,子,U+5B50,64,镶嵌,⿻了一,独体字,0,子,,TOOL_CONFLICT_REVIEW_REQUIRED,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0065,卫,U+536B,65,上下,⿱乛一,独体字,0,卫,,TOOL_CONFLICT_REVIEW_REQUIRED,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0066,也,U+4E5F,66,镶嵌,⿻?乚,独体字,0,也,,TOOL_CONFLICT_REVIEW_REQUIRED,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0067,女,U+5973,67,独体字,女,独体字,0,女,,TOOL_CONFIRMS_CURRENT,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0068,刃,U+5203,68,右上包,⿹刀丶,独体字,0,刃,,TOOL_CONFLICT_REVIEW_REQUIRED,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0069,飞,U+98DE,69,镶嵌,⿻??,独体字,0,飞,,TOOL_CONFLICT_REVIEW_REQUIRED,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0070,习,U+4E60,70,右上包,⿹?冫,独体字,0,习,,TOOL_CONFLICT_REVIEW_REQUIRED,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0071,叉,U+53C9,71,全包围,⿴又丶,独体字,0,叉,,TOOL_CONFLICT_REVIEW_REQUIRED,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0072,马,U+9A6C,72,右上包,⿹?一,独体字,0,马,,TOOL_CONFLICT_REVIEW_REQUIRED,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0073,乡,U+4E61,73,,幺,独体字,0,乡,,TOOL_FILLS_CURRENT_GAP_REVIEW_REQUIRED,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,AGENT_STRUCTURE_CODE_CANDIDATE_REVIEW_REQUIRED,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0074,丰,U+4E30,74,镶嵌,⿻三丨,独体字,0,丰,,TOOL_CONFLICT_REVIEW_REQUIRED,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0075,王,U+738B,75,上下,⿱一土,独体字,0,王,,TOOL_CONFLICT_REVIEW_REQUIRED,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0076,开,U+5F00,76,上下,⿱一廾,独体字,0,开,,TOOL_CONFLICT_REVIEW_REQUIRED,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0077,井,U+4E95,77,镶嵌,⿻二?,独体字,0,井,,TOOL_CONFLICT_REVIEW_REQUIRED,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
8105_full_0078,天,U+5929,78,上下,⿱一大,独体字,0,天,,TOOL_CONFLICT_REVIEW_REQUIRED,USER_SUPPLIED_PROGRAM_AGENT_REFERENCE_NOT_NATIONAL_STANDARD,NOT_AN_ENCODING_WRITE,NO_CNBE32_WRITE,NO_DATABASE_REBUILD,HUMAN_REVIEW_REQUIRED
