character,unicode_codepoint,standard_rank,status,merge_status,approved_basis,approved_radical,approved_canonical_radical,approved_radical_resolution,approved_radix,approved_strokes,approved_agent_structure,approved_agent_struct_type,approved_decomposition,current_cnbe,current_cnbe_hex,current_radix,current_radix_name,current_strokes,current_struct_name,current_struct_type,current_index,current_ext,proposed_cnbe,proposed_cnbe_hex,proposed_radix,proposed_radix_name,proposed_canonical_radical,proposed_strokes,proposed_struct_type,proposed_struct_name,proposed_index,proposed_ext,roundtrip_pass,decoded_radix,decoded_strokes,decoded_struct_type,decoded_index,decoded_ext,write_gate,block_reason,block_detail
入,U+5165,11,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,入,入,DIRECT,11,2,独体字,0,入,236303952,0x0E15B650,14,冖,2,full-wrap,11,869,0,185611856,0x0B103650,11,入,入,2,0,独体字,869,0,True,11,2,0,869,0,NO_WRITE_DRY_RUN_ONLY,,
儿,U+513F,12,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,儿,儿,DIRECT,10,2,独体字,0,儿,3201709040,0xBED633F0,190,髟,26,triangle,12,831,0,168834032,0x0A1033F0,10,儿,儿,2,0,独体字,831,0,True,10,2,0,831,0,NO_WRITE_DRY_RUN_ONLY,,
匕,U+5315,13,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,匕,匕,DIRECT,21,2,独体字,0,匕,318296400,0x12F8D150,18,刀,31,left-right,1,1301,0,353390928,0x15105150,21,匕,匕,2,0,独体字,1301,0,True,21,2,0,1301,0,NO_WRITE_DRY_RUN_ONLY,,
几,U+51E0,14,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,几,几,DIRECT,16,2,独体字,0,几,2299149824,0x890A3E00,137,舟,1,up-mid-down,4,992,0,269499904,0x10103E00,16,几,几,2,0,独体字,992,0,True,16,2,0,992,0,NO_WRITE_DRY_RUN_ONLY,,
九,U+4E5D,15,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,乙,乙,DIRECT,5,2,独体字,0,九,1577649616,0x5E0905D0,94,犬,1,left-mid-right,2,93,0,84936144,0x051005D0,5,乙,乙,2,0,独体字,93,0,True,5,2,0,93,0,NO_WRITE_DRY_RUN_ONLY,,
刁,U+5201,16,DRY_RUN_BLOCKED,,,刁,,,,2,独体字,0,,2854076432,,,,,,,1025,,,,,,,,,,,,,,,,,,NO_WRITE_DRY_RUN_ONLY,radical_resolution_blocked,no conservative mapping rule in this phase
了,U+4E86,17,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,亅,亅,DIRECT,6,2,独体字,0,了,2270824544,0x875A0860,135,舌,11,up-mid-down,4,134,0,101714016,0x06100860,6,亅,亅,2,0,独体字,134,0,True,6,2,0,134,0,NO_WRITE_DRY_RUN_ONLY,,
刀,U+5200,18,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,刀,刀,DIRECT,18,2,独体字,0,刀,2836742144,0xA9154000,169,門,2,left-wrap,10,1024,0,303054848,0x12104000,18,刀,刀,2,0,独体字,1024,0,True,18,2,0,1024,0,NO_WRITE_DRY_RUN_ONLY,,
力,U+529B,19,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,力,力,DIRECT,19,2,独体字,0,力,1846856112,0x6E14C9B0,110,矛,2,bottom-wrap,9,1179,0,319834544,0x131049B0,19,力,力,2,0,独体字,1179,0,True,19,2,0,1179,0,NO_WRITE_DRY_RUN_ONLY,,
乃,U+4E43,20,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,丿,丿,DIRECT,4,2,独体字,0,乃,1144063024,0x44310430,68,斗,6,left-mid-right,2,67,0,68158512,0x04100430,4,丿,丿,2,0,独体字,67,0,True,4,2,0,67,0,NO_WRITE_DRY_RUN_ONLY,,
又,U+53C8,21,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,又,又,DIRECT,29,2,独体字,0,又,3318078592,0xC5C5DC80,197,鹵,24,full-wrap,11,1480,0,487611520,0x1D105C80,29,又,又,2,0,独体字,1480,0,True,29,2,0,1480,0,NO_WRITE_DRY_RUN_ONLY,,
三,U+4E09,22,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,一,一,DIRECT,1,3,独体字,0,三,173310096,0x0A548090,10,儿,10,bottom-wrap,9,9,0,18350224,0x01180090,1,一,一,3,0,独体字,9,0,True,1,3,0,9,0,NO_WRITE_DRY_RUN_ONLY,,
干,U+5E72,23,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,十,十,DIRECT,24,3,独体字,0,干,2446690080,0x91D58720,145,衣,26,full-wrap,11,114,0,404227872,0x18180720,24,十,十,3,0,独体字,114,0,True,24,3,0,114,0,NO_WRITE_DRY_RUN_ONLY,,
于,U+4E8E,24,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,二,二,DIRECT,7,3,独体字,0,于,2409498848,0x8F9E08E0,143,血,19,triangle,12,142,0,119015648,0x071808E0,7,二,二,3,0,独体字,142,0,True,7,3,0,142,0,NO_WRITE_DRY_RUN_ONLY,,
亏,U+4E8F,25,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,二,二,DIRECT,7,3,上下,1,⿱一丂,2426407152,0x90A008F0,144,行,20,single,0,143,0,119048432,0x071888F0,7,二,二,3,1,上下,143,0,True,7,3,1,143,0,NO_WRITE_DRY_RUN_ONLY,,
工,U+5DE5,26,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_CONFIRMED,HUMAN_CONFIRMED_HANZI_DECOMP_V03,工,工,DIRECT,48,3,独体字,0,工,71859792,0x04487E50,4,丿,9,single,0,2021,0,806911568,0x30187E50,48,工,工,3,0,独体字,2021,0,True,48,3,0,2021,0,NO_WRITE_DRY_RUN_ONLY,,
土,U+571F,27,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,土,土,DIRECT,32,3,独体字,0,土,3294368240,0xC45C11F0,196,鳥,11,top-wrap,8,287,0,538448368,0x201811F0,32,土,土,3,0,独体字,287,0,True,32,3,0,287,0,NO_WRITE_DRY_RUN_ONLY,,
士,U+58EB,28,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_CONFIRMED,HUMAN_CONFIRMED_HANZI_DECOMP_V03,士,士,DIRECT,33,3,独体字,0,士,238038704,0x0E302EB0,14,冖,6,single,0,747,0,555232944,0x21182EB0,33,士,士,3,0,独体字,747,0,True,33,3,0,747,0,NO_WRITE_DRY_RUN_ONLY,,
才,U+624D,29,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,扌,手,ALIAS,64,3,独体字,0,才,1051542736,0x3EAD44D0,62,戈,21,left-wrap,10,1101,0,1075332304,0x401844D0,64,扌,手,3,0,独体字,1101,0,True,64,3,0,1101,0,NO_WRITE_DRY_RUN_ONLY,,
下,U+4E0B,30,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,一,一,DIRECT,1,3,独体字,0,下,207978672,0x0C6580B0,12,八,12,full-wrap,11,11,0,18350256,0x011800B0,1,一,一,3,0,独体字,11,0,True,1,3,0,11,0,NO_WRITE_DRY_RUN_ONLY,,
寸,U+5BF8,31,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,寸,寸,DIRECT,41,3,独体字,0,寸,2573262720,0x9960DF80,153,豸,12,left-right,1,1528,0,689463168,0x29185F80,41,寸,寸,3,0,独体字,1528,0,True,41,3,0,1528,0,NO_WRITE_DRY_RUN_ONLY,,
大,U+5927,32,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,大,大,DIRECT,37,3,独体字,0,大,1243886192,0x4A243270,74,月,4,top-wrap,8,807,0,622342768,0x25183270,37,大,大,3,0,独体字,807,0,True,37,3,0,807,0,NO_WRITE_DRY_RUN_ONLY,,
丈,U+4E08,33,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,一,一,DIRECT,1,3,独体字,0,丈,155975808,0x094C0080,9,人,9,top-wrap,8,8,0,18350208,0x01180080,1,一,一,3,0,独体字,8,0,True,1,3,0,8,0,NO_WRITE_DRY_RUN_ONLY,,
与,U+4E0E,34,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,一,一,DIRECT,1,3,独体字,0,与,259555552,0x0F7880E0,15,冫,15,left-right,1,14,0,18350304,0x011800E0,1,一,一,3,0,独体字,14,0,True,1,3,0,14,0,NO_WRITE_DRY_RUN_ONLY,,
万,U+4E07,35,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,一,一,DIRECT,1,3,独体字,0,万,138641520,0x08438070,8,亠,8,bottom-left-wrap,7,7,0,18350192,0x01180070,1,一,一,3,0,独体字,7,0,True,1,3,0,7,0,NO_WRITE_DRY_RUN_ONLY,,
上,U+4E0A,36,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,一,一,DIRECT,1,3,独体字,0,上,190644384,0x0B5D00A0,11,入,11,left-wrap,10,10,0,18350240,0x011800A0,1,一,一,3,0,独体字,10,0,True,1,3,0,10,0,NO_WRITE_DRY_RUN_ONLY,,
小,U+5C0F,37,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,小,小,DIRECT,42,3,独体字,0,小,2955272432,0xB025E0F0,176,面,4,full-wrap,11,1551,0,706240752,0x2A1860F0,42,小,小,3,0,独体字,1551,0,True,42,3,0,1551,0,NO_WRITE_DRY_RUN_ONLY,,
口,U+53E3,38,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,口,口,DIRECT,30,3,独体字,0,口,178675248,0x0AA65E30,10,儿,20,triangle,12,1507,0,504913456,0x1E185E30,30,口,口,3,0,独体字,1507,0,True,30,3,0,1507,0,NO_WRITE_DRY_RUN_ONLY,,
山,U+5C71,39,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,山,山,DIRECT,46,3,独体字,0,山,1011541776,0x3C4AE710,60,彳,9,top-left-wrap,5,1649,0,773351184,0x2E186710,46,山,山,3,0,独体字,1649,0,True,46,3,0,1649,0,NO_WRITE_DRY_RUN_ONLY,,
巾,U+5DFE,40,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,巾,巾,DIRECT,50,3,独体字,0,巾,488538080,0x1D1E7FE0,29,又,3,triangle,12,2046,0,840466400,0x32187FE0,50,巾,巾,3,0,独体字,2046,0,True,50,3,0,2046,0,NO_WRITE_DRY_RUN_ONLY,,
千,U+5343,41,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,十,十,DIRECT,24,3,独体字,0,千,1081889840,0x407C5430,64,手,15,top-wrap,8,1347,0,404247600,0x18185430,24,十,十,3,0,独体字,1347,0,True,24,3,0,1347,0,NO_WRITE_DRY_RUN_ONLY,,
乞,U+4E5E,42,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_CONFIRMED,HUMAN_CONFIRMED_HANZI_DECOMP_V03,乙,乙,DIRECT,5,3,上下,1,⿱𠂉乙,1594983904,0x5F1185E0,95,王,2,up-down,3,94,0,85493216,0x051885E0,5,乙,乙,3,1,上下,94,0,True,5,3,1,94,0,NO_WRITE_DRY_RUN_ONLY,,
川,U+5DDD,43,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,川,巛,ALIAS,47,3,独体字,0,川,3523935696,0xD20AFDD0,210,齊,1,top-left-wrap,5,2013,0,790134224,0x2F187DD0,47,川,巛,3,0,独体字,2013,0,True,47,3,0,2013,0,NO_WRITE_DRY_RUN_ONLY,,
亿,U+4EBF,44,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,亻,人,ALIAS,9,3,左右,3,⿰亻乙,3224669168,0xC0348BF0,192,鬯,6,bottom-wrap,9,191,0,152669168,0x09198BF0,9,亻,人,3,3,左右,191,0,True,9,3,3,191,0,NO_WRITE_DRY_RUN_ONLY,,
个,U+4E2A,45,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,丨,丨,DIRECT,2,3,独体字,0,个,727810720,0x2B6182A0,43,尢,12,up-down,3,42,0,35127968,0x021802A0,2,丨,丨,3,0,独体字,42,0,True,2,3,0,42,0,NO_WRITE_DRY_RUN_ONLY,,
夕,U+5915,46,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,夕,夕,DIRECT,36,3,独体字,0,夕,948547920,0x3889B150,56,弋,17,up-down,3,789,0,605565264,0x24183150,36,夕,夕,3,0,独体字,789,0,True,36,3,0,789,0,NO_WRITE_DRY_RUN_ONLY,,
久,U+4E45,47,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,丿,丿,DIRECT,4,3,独体字,0,久,1178731600,0x46420450,70,方,8,up-mid-down,4,69,0,68682832,0x04180450,4,丿,丿,3,0,独体字,69,0,True,4,3,0,69,0,NO_WRITE_DRY_RUN_ONLY,,
么,U+4E48,48,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,丿,丿,DIRECT,4,3,独体字,0,么,1230734464,0x495B8480,73,曰,11,bottom-left-wrap,7,72,0,68682880,0x04180480,4,丿,丿,3,0,独体字,72,0,True,4,3,0,72,0,NO_WRITE_DRY_RUN_ONLY,,
勺,U+52FA,49,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,勹,勹,DIRECT,20,3,右上包,6,⿹勹丶,3441446816,0xCD204FA0,205,黽,4,single,0,1274,0,337334176,0x141B4FA0,20,勹,勹,3,6,右上包,1274,0,True,20,3,6,1274,0,NO_WRITE_DRY_RUN_ONLY,,
凡,U+51E1,50,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,几,几,DIRECT,16,3,独体字,0,凡,2316484112,0x8A12BE10,138,艮,2,top-left-wrap,5,993,0,270024208,0x10183E10,16,几,几,3,0,独体字,993,0,True,16,3,0,993,0,NO_WRITE_DRY_RUN_ONLY,,
丸,U+4E38,51,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,丶,丶,DIRECT,3,3,独体字,0,丸,970064768,0x39D20380,57,弓,26,up-mid-down,4,56,0,51905408,0x03180380,3,丶,丶,3,0,独体字,56,0,True,3,3,0,56,0,NO_WRITE_DRY_RUN_ONLY,,
及,U+53CA,52,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_CONFIRMED,HUMAN_CONFIRMED_HANZI_DECOMP_V03,又,又,DIRECT,29,3,独体字,0,及,3352321184,0xC7D05CA0,199,麥,26,single,0,1482,0,488135840,0x1D185CA0,29,又,又,3,0,独体字,1482,0,True,29,3,0,1482,0,NO_WRITE_DRY_RUN_ONLY,,
广,U+5E7F,53,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,广,广,DIRECT,53,3,独体字,0,广,2655356912,0x9E4587F0,158,身,8,full-wrap,11,127,0,890767344,0x351807F0,53,广,广,3,0,独体字,127,0,True,53,3,0,127,0,NO_WRITE_DRY_RUN_ONLY,,
亡,U+4EA1,54,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,亠,亠,DIRECT,8,3,独体字,0,亡,2721745424,0xA23A8A10,162,辵,7,top-left-wrap,5,161,0,135793168,0x08180A10,8,亠,亠,3,0,独体字,161,0,True,8,3,0,161,0,NO_WRITE_DRY_RUN_ONLY,,
门,U+95E8,55,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_CONFIRMED,HUMAN_CONFIRMED_HANZI_DECOMP_V03,门,門,ALIAS,169,3,独体字,0,门,97549952,0x05D07E80,5,乙,26,single,0,2024,0,2836954752,0xA9187E80,169,门,門,3,0,独体字,2024,0,True,169,3,0,2024,0,NO_WRITE_DRY_RUN_ONLY,,
丫,U+4E2B,56,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,丨,丨,DIRECT,2,3,独体字,0,丫,745145008,0x2C6A02B0,44,尸,13,up-mid-down,4,43,0,35127984,0x021802B0,2,丨,丨,3,0,独体字,43,0,True,2,3,0,43,0,NO_WRITE_DRY_RUN_ONLY,,
义,U+4E49,57,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,丿,丿,DIRECT,4,3,独体字,0,义,1248068752,0x4A640490,74,月,12,top-wrap,8,73,0,68682896,0x04180490,4,丿,丿,3,0,独体字,73,0,True,4,3,0,73,0,NO_WRITE_DRY_RUN_ONLY,,
之,U+4E4B,58,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,丿,丿,DIRECT,4,3,独体字,0,之,1282737328,0x4C7504B0,76,欠,14,left-wrap,10,75,0,68682928,0x041804B0,4,丿,丿,3,0,独体字,75,0,True,4,3,0,75,0,NO_WRITE_DRY_RUN_ONLY,,
尸,U+5C38,59,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_CONFIRMED,HUMAN_CONFIRMED_HANZI_DECOMP_V03,尸,尸,DIRECT,44,3,独体字,0,尸,57697152,0x03706380,3,丶,14,single,0,1592,0,739795840,0x2C186380,44,尸,尸,3,0,独体字,1592,0,True,44,3,0,1592,0,NO_WRITE_DRY_RUN_ONLY,,
己,U+5DF1,60,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,己,己,DIRECT,49,3,独体字,0,己,279871248,0x10AE7F10,16,几,21,triangle,12,2033,0,823688976,0x31187F10,49,己,己,3,0,独体字,2033,0,True,49,3,0,2033,0,NO_WRITE_DRY_RUN_ONLY,,
已,U+5DF2,61,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_CONFIRMED,HUMAN_CONFIRMED_HANZI_DECOMP_V03,己,己,DIRECT,49,3,独体字,0,已,296779552,0x11B07F20,17,凵,22,single,0,2034,0,823688992,0x31187F20,49,己,己,3,0,独体字,2034,0,True,49,3,0,2034,0,NO_WRITE_DRY_RUN_ONLY,,
巳,U+5DF3,62,DRY_RUN_BLOCKED,,,巳,,,,3,独体字,0,,314113840,,,,,,,2035,,,,,,,,,,,,,,,,,,NO_WRITE_DRY_RUN_ONLY,radical_resolution_blocked,ambiguous against 己/已/巳 shape group in this evidence layer.
弓,U+5F13,63,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,弓,弓,DIRECT,57,3,独体字,0,弓,1544130864,0x5C099130,92,牙,1,up-down,3,275,0,957878576,0x39181130,57,弓,弓,3,0,独体字,275,0,True,57,3,0,275,0,NO_WRITE_DRY_RUN_ONLY,,
子,U+5B50,64,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,子,子,DIRECT,39,3,独体字,0,子,3354481920,0xC7F15500,199,麥,30,left-mid-right,2,1360,0,655906048,0x27185500,39,子,子,3,0,独体字,1360,0,True,39,3,0,1360,0,NO_WRITE_DRY_RUN_ONLY,,
卫,U+536B,65,DRY_RUN_BLOCKED,,,乛,,,,3,独体字,0,,1757730480,,,,,,,1387,,,,,,,,,,,,,,,,,,NO_WRITE_DRY_RUN_ONLY,radical_resolution_blocked,stroke/component-like label; no conservative radical assignment in this phase.
也,U+4E5F,66,DRY_RUN_BLOCKED,,,乚,,,,3,独体字,0,,1612318192,,,,,,,95,,,,,,,,,,,,,,,,,,NO_WRITE_DRY_RUN_ONLY,radical_resolution_blocked,stroke/component-like label; no conservative radical assignment in this phase.
女,U+5973,67,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,女,女,DIRECT,38,3,独体字,0,女,2526230320,0x96933730,150,谷,18,top-right-wrap,6,883,0,639121200,0x26183730,38,女,女,3,0,独体字,883,0,True,38,3,0,883,0,NO_WRITE_DRY_RUN_ONLY,,
