sample_id,char,unicode,codepoint_dec,worksheet_row,source_offset,unicode_block,review_prior,review_queue,standard_level,score_status,source_gap_failure_codes,unicode_identity_available,has_unresolved_structure_gap,has_wiki_cross_reference,has_dictionary_review_hit,has_stronger_authoritative_row_level_ids,allowed_next_action,human_review_status,human_structure_label,human_decomposition,human_radical_or_component_note,human_evidence_source,human_reviewer,human_review_notes,adjudication_result
review_prior_medium:025,艣,U+8263,33379,63481,63479,CJK Unified Ideographs,review_prior_medium,agent_standard_rule_learning_candidate,agent_standard_candidate_not_national_standard,NOT_SCORED_AGENT_STANDARD_FEATURE_ONLY,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,True,True,False,False,False,human_review_or_agent_rule_learning_design_only,未审核,,,,,,,
review_prior_medium:026,蕝,U+855D,34141,64887,64885,CJK Unified Ideographs,review_prior_medium,agent_standard_rule_learning_candidate,agent_standard_candidate_not_national_standard,NOT_SCORED_AGENT_STANDARD_FEATURE_ONLY,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,True,True,False,False,False,human_review_or_agent_rule_learning_design_only,未审核,,,,,,,
review_prior_medium:027,蟶,U+87F6,34806,68546,68544,CJK Unified Ideographs,review_prior_medium,agent_standard_rule_learning_candidate,agent_standard_candidate_not_national_standard,NOT_SCORED_AGENT_STANDARD_FEATURE_ONLY,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,True,True,False,False,False,human_review_or_agent_rule_learning_design_only,未审核,,,,,,,
review_prior_medium:028,覛,U+899B,35227,71333,71331,CJK Unified Ideographs,review_prior_medium,agent_standard_rule_learning_candidate,agent_standard_candidate_not_national_standard,NOT_SCORED_AGENT_STANDARD_FEATURE_ONLY,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,True,True,False,False,False,human_review_or_agent_rule_learning_design_only,未审核,,,,,,,
review_prior_medium:029,詘,U+8A58,35416,72300,72298,CJK Unified Ideographs,review_prior_medium,agent_standard_rule_learning_candidate,agent_standard_candidate_not_national_standard,NOT_SCORED_AGENT_STANDARD_FEATURE_ONLY,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,True,True,False,False,False,human_review_or_agent_rule_learning_design_only,未审核,,,,,,,
review_prior_medium:030,諰,U+8AF0,35568,72447,72445,CJK Unified Ideographs,review_prior_medium,agent_standard_rule_learning_candidate,agent_standard_candidate_not_national_standard,NOT_SCORED_AGENT_STANDARD_FEATURE_ONLY,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,True,True,False,False,False,human_review_or_agent_rule_learning_design_only,未审核,,,,,,,
review_prior_medium:031,譾,U+8B7E,35710,72586,72584,CJK Unified Ideographs,review_prior_medium,agent_standard_rule_learning_candidate,agent_standard_candidate_not_national_standard,NOT_SCORED_AGENT_STANDARD_FEATURE_ONLY,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,True,True,False,False,False,human_review_or_agent_rule_learning_design_only,未审核,,,,,,,
review_prior_medium:032,賾,U+8CFE,36094,74574,74572,CJK Unified Ideographs,review_prior_medium,agent_standard_rule_learning_candidate,agent_standard_candidate_not_national_standard,NOT_SCORED_AGENT_STANDARD_FEATURE_ONLY,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,True,True,False,False,False,human_review_or_agent_rule_learning_design_only,未审核,,,,,,,
review_prior_medium:033,軉,U+8EC9,36553,77087,77085,CJK Unified Ideographs,review_prior_medium,agent_standard_rule_learning_candidate,agent_standard_candidate_not_national_standard,NOT_SCORED_AGENT_STANDARD_FEATURE_ONLY,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,True,True,False,False,False,human_review_or_agent_rule_learning_design_only,未审核,,,,,,,
review_prior_medium:034,輢,U+8F22,36642,77533,77531,CJK Unified Ideographs,review_prior_medium,agent_standard_rule_learning_candidate,agent_standard_candidate_not_national_standard,NOT_SCORED_AGENT_STANDARD_FEATURE_ONLY,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,True,True,False,False,False,human_review_or_agent_rule_learning_design_only,未审核,,,,,,,
review_prior_medium:035,釟,U+91DF,37343,81459,81457,CJK Unified Ideographs,review_prior_medium,agent_standard_rule_learning_candidate,agent_standard_candidate_not_national_standard,NOT_SCORED_AGENT_STANDARD_FEATURE_ONLY,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,True,True,False,False,False,human_review_or_agent_rule_learning_design_only,未审核,,,,,,,
review_prior_medium:036,銁,U+9281,37505,81620,81618,CJK Unified Ideographs,review_prior_medium,agent_standard_rule_learning_candidate,agent_standard_candidate_not_national_standard,NOT_SCORED_AGENT_STANDARD_FEATURE_ONLY,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,True,True,False,False,False,human_review_or_agent_rule_learning_design_only,未审核,,,,,,,
review_prior_medium:037,錜,U+931C,37660,81771,81769,CJK Unified Ideographs,review_prior_medium,agent_standard_rule_learning_candidate,agent_standard_candidate_not_national_standard,NOT_SCORED_AGENT_STANDARD_FEATURE_ONLY,MISSING_STRUCTURE,True,True,False,False,False,human_review_or_agent_rule_learning_design_only,未审核,,,,,,,
review_prior_medium:038,鐏,U+940F,37903,82009,82007,CJK Unified Ideographs,review_prior_medium,agent_standard_rule_learning_candidate,agent_standard_candidate_not_national_standard,NOT_SCORED_AGENT_STANDARD_FEATURE_ONLY,MISSING_STRUCTURE,True,True,False,False,False,human_review_or_agent_rule_learning_design_only,未审核,,,,,,,
review_prior_medium:039,鞾,U+97BE,38846,86902,86900,CJK Unified Ideographs,review_prior_medium,agent_standard_rule_learning_candidate,agent_standard_candidate_not_national_standard,NOT_SCORED_AGENT_STANDARD_FEATURE_ONLY,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,True,True,False,False,False,human_review_or_agent_rule_learning_design_only,未审核,,,,,,,
review_prior_medium:040,顢,U+9862,39010,87876,87874,CJK Unified Ideographs,review_prior_medium,agent_standard_rule_learning_candidate,agent_standard_candidate_not_national_standard,NOT_SCORED_AGENT_STANDARD_FEATURE_ONLY,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,True,True,False,False,False,human_review_or_agent_rule_learning_design_only,未审核,,,,,,,
review_prior_medium:041,餳,U+9933,39219,89071,89069,CJK Unified Ideographs,review_prior_medium,agent_standard_rule_learning_candidate,agent_standard_candidate_not_national_standard,NOT_SCORED_AGENT_STANDARD_FEATURE_ONLY,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,True,True,False,False,False,human_review_or_agent_rule_learning_design_only,未审核,,,,,,,
review_prior_medium:042,駫,U+99EB,39403,90152,90150,CJK Unified Ideographs,review_prior_medium,agent_standard_rule_learning_candidate,agent_standard_candidate_not_national_standard,NOT_SCORED_AGENT_STANDARD_FEATURE_ONLY,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,True,True,False,False,False,human_review_or_agent_rule_learning_design_only,未审核,,,,,,,
review_prior_medium:043,騴,U+9A34,39476,90225,90223,CJK Unified Ideographs,review_prior_medium,agent_standard_rule_learning_candidate,agent_standard_candidate_not_national_standard,NOT_SCORED_AGENT_STANDARD_FEATURE_ONLY,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,True,True,False,False,False,human_review_or_agent_rule_learning_design_only,未审核,,,,,,,
review_prior_medium:044,魵,U+9B75,39797,92580,92578,CJK Unified Ideographs,review_prior_medium,agent_standard_rule_learning_candidate,agent_standard_candidate_not_national_standard,NOT_SCORED_AGENT_STANDARD_FEATURE_ONLY,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,True,True,False,False,False,human_review_or_agent_rule_learning_design_only,未审核,,,,,,,
review_prior_medium:045,鯄,U+9BC4,39876,92659,92657,CJK Unified Ideographs,review_prior_medium,agent_standard_rule_learning_candidate,agent_standard_candidate_not_national_standard,NOT_SCORED_AGENT_STANDARD_FEATURE_ONLY,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,True,True,False,False,False,human_review_or_agent_rule_learning_design_only,未审核,,,,,,,
review_prior_medium:046,鰜,U+9C1C,39964,92747,92745,CJK Unified Ideographs,review_prior_medium,agent_standard_rule_learning_candidate,agent_standard_candidate_not_national_standard,NOT_SCORED_AGENT_STANDARD_FEATURE_ONLY,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,True,True,False,False,False,human_review_or_agent_rule_learning_design_only,未审核,,,,,,,
review_prior_medium:047,鳽,U+9CFD,40189,94101,94099,CJK Unified Ideographs,review_prior_medium,agent_standard_rule_learning_candidate,agent_standard_candidate_not_national_standard,NOT_SCORED_AGENT_STANDARD_FEATURE_ONLY,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,True,True,False,False,False,human_review_or_agent_rule_learning_design_only,未审核,,,,,,,
review_prior_medium:048,鶄,U+9D84,40324,94235,94233,CJK Unified Ideographs,review_prior_medium,agent_standard_rule_learning_candidate,agent_standard_candidate_not_national_standard,NOT_SCORED_AGENT_STANDARD_FEATURE_ONLY,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,True,True,False,False,False,human_review_or_agent_rule_learning_design_only,未审核,,,,,,,
review_prior_medium:049,鸋,U+9E0B,40459,94369,94367,CJK Unified Ideographs,review_prior_medium,agent_standard_rule_learning_candidate,agent_standard_candidate_not_national_standard,NOT_SCORED_AGENT_STANDARD_FEATURE_ONLY,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,True,True,False,False,False,human_review_or_agent_rule_learning_design_only,未审核,,,,,,,
review_prior_medium:050,龓,U+9F93,40851,97553,97551,CJK Unified Ideographs,review_prior_medium,agent_standard_rule_learning_candidate,agent_standard_candidate_not_national_standard,NOT_SCORED_AGENT_STANDARD_FEATURE_ONLY,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,True,True,False,False,False,human_review_or_agent_rule_learning_design_only,未审核,,,,,,,
review_prior_low_medium:001,㐁,U+3401,13313,32,30,CJK Unified Ideographs Extension A,review_prior_low_medium,agent_standard_rule_learning_candidate,agent_standard_candidate_not_national_standard,NOT_SCORED_AGENT_STANDARD_FEATURE_ONLY,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,True,True,False,False,False,human_review_or_agent_rule_learning_design_only,未审核,,,,,,,
review_prior_low_medium:002,㒋,U+348B,13451,1500,1498,CJK Unified Ideographs Extension A,review_prior_low_medium,agent_standard_rule_learning_candidate,agent_standard_candidate_not_national_standard,NOT_SCORED_AGENT_STANDARD_FEATURE_ONLY,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,True,True,False,False,False,human_review_or_agent_rule_learning_design_only,未审核,,,,,,,
review_prior_low_medium:003,㔐,U+3510,13584,4609,4607,CJK Unified Ideographs Extension A,review_prior_low_medium,agent_standard_rule_learning_candidate,agent_standard_candidate_not_national_standard,NOT_SCORED_AGENT_STANDARD_FEATURE_ONLY,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,True,True,False,False,False,human_review_or_agent_rule_learning_design_only,未审核,,,,,,,
review_prior_low_medium:004,㖩,U+35A9,13737,7695,7693,CJK Unified Ideographs Extension A,review_prior_low_medium,agent_standard_rule_learning_candidate,agent_standard_candidate_not_national_standard,NOT_SCORED_AGENT_STANDARD_FEATURE_ONLY,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,True,True,False,False,False,human_review_or_agent_rule_learning_design_only,未审核,,,,,,,
review_prior_low_medium:005,㘲,U+3632,13874,11466,11464,CJK Unified Ideographs Extension A,review_prior_low_medium,agent_standard_rule_learning_candidate,agent_standard_candidate_not_national_standard,NOT_SCORED_AGENT_STANDARD_FEATURE_ONLY,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,True,True,False,False,False,human_review_or_agent_rule_learning_design_only,未审核,,,,,,,
review_prior_low_medium:006,㛋,U+36CB,14027,14300,14298,CJK Unified Ideographs Extension A,review_prior_low_medium,agent_standard_rule_learning_candidate,agent_standard_candidate_not_national_standard,NOT_SCORED_AGENT_STANDARD_FEATURE_ONLY,MISSING_STRUCTURE,True,True,False,False,False,human_review_or_agent_rule_learning_design_only,未审核,,,,,,,
review_prior_low_medium:007,㝁,U+3741,14145,15869,15867,CJK Unified Ideographs Extension A,review_prior_low_medium,agent_standard_rule_learning_candidate,agent_standard_candidate_not_national_standard,NOT_SCORED_AGENT_STANDARD_FEATURE_ONLY,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,True,True,False,False,False,human_review_or_agent_rule_learning_design_only,未审核,,,,,,,
review_prior_low_medium:008,㟡,U+37E1,14305,18156,18154,CJK Unified Ideographs Extension A,review_prior_low_medium,agent_standard_rule_learning_candidate,agent_standard_candidate_not_national_standard,NOT_SCORED_AGENT_STANDARD_FEATURE_ONLY,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,True,True,False,False,False,human_review_or_agent_rule_learning_design_only,未审核,,,,,,,
review_prior_low_medium:009,㡱,U+3871,14449,20617,20615,CJK Unified Ideographs Extension A,review_prior_low_medium,agent_standard_rule_learning_candidate,agent_standard_candidate_not_national_standard,NOT_SCORED_AGENT_STANDARD_FEATURE_ONLY,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,True,True,False,False,False,human_review_or_agent_rule_learning_design_only,未审核,,,,,,,
review_prior_low_medium:010,㣱,U+38F1,14577,22134,22132,CJK Unified Ideographs Extension A,review_prior_low_medium,agent_standard_rule_learning_candidate,agent_standard_candidate_not_national_standard,NOT_SCORED_AGENT_STANDARD_FEATURE_ONLY,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,True,True,False,False,False,human_review_or_agent_rule_learning_design_only,未审核,,,,,,,
review_prior_low_medium:011,㦊,U+398A,14730,22928,22926,CJK Unified Ideographs Extension A,review_prior_low_medium,agent_standard_rule_learning_candidate,agent_standard_candidate_not_national_standard,NOT_SCORED_AGENT_STANDARD_FEATURE_ONLY,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,True,True,False,False,False,human_review_or_agent_rule_learning_design_only,未审核,,,,,,,
review_prior_low_medium:012,㨜,U+3A1C,14876,25817,25815,CJK Unified Ideographs Extension A,review_prior_low_medium,agent_standard_rule_learning_candidate,agent_standard_candidate_not_national_standard,NOT_SCORED_AGENT_STANDARD_FEATURE_ONLY,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,True,True,False,False,False,human_review_or_agent_rule_learning_design_only,未审核,,,,,,,
review_prior_low_medium:013,㪘,U+3A98,15000,28305,28303,CJK Unified Ideographs Extension A,review_prior_low_medium,agent_standard_rule_learning_candidate,agent_standard_candidate_not_national_standard,NOT_SCORED_AGENT_STANDARD_FEATURE_ONLY,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,True,True,False,False,False,human_review_or_agent_rule_learning_design_only,未审核,,,,,,,
review_prior_low_medium:014,㬻,U+3B3B,15163,30984,30982,CJK Unified Ideographs Extension A,review_prior_low_medium,agent_standard_rule_learning_candidate,agent_standard_candidate_not_national_standard,NOT_SCORED_AGENT_STANDARD_FEATURE_ONLY,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,True,True,False,False,False,human_review_or_agent_rule_learning_design_only,未审核,,,,,,,
review_prior_low_medium:015,㯗,U+3BD7,15319,31744,31742,CJK Unified Ideographs Extension A,review_prior_low_medium,agent_standard_rule_learning_candidate,agent_standard_candidate_not_national_standard,NOT_SCORED_AGENT_STANDARD_FEATURE_ONLY,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,True,True,False,False,False,human_review_or_agent_rule_learning_design_only,未审核,,,,,,,
review_prior_low_medium:016,㱜,U+3C5C,15452,35274,35272,CJK Unified Ideographs Extension A,review_prior_low_medium,agent_standard_rule_learning_candidate,agent_standard_candidate_not_national_standard,NOT_SCORED_AGENT_STANDARD_FEATURE_ONLY,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,True,True,False,False,False,human_review_or_agent_rule_learning_design_only,未审核,,,,,,,
review_prior_low_medium:017,㳶,U+3CF6,15606,37117,37115,CJK Unified Ideographs Extension A,review_prior_low_medium,agent_standard_rule_learning_candidate,agent_standard_candidate_not_national_standard,NOT_SCORED_AGENT_STANDARD_FEATURE_ONLY,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,True,True,False,False,False,human_review_or_agent_rule_learning_design_only,未审核,,,,,,,
review_prior_low_medium:018,㶘,U+3D98,15768,37277,37275,CJK Unified Ideographs Extension A,review_prior_low_medium,agent_standard_rule_learning_candidate,agent_standard_candidate_not_national_standard,NOT_SCORED_AGENT_STANDARD_FEATURE_ONLY,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,True,True,False,False,False,human_review_or_agent_rule_learning_design_only,未审核,,,,,,,
review_prior_low_medium:019,㸹,U+3E39,15929,43086,43084,CJK Unified Ideographs Extension A,review_prior_low_medium,agent_standard_rule_learning_candidate,agent_standard_candidate_not_national_standard,NOT_SCORED_AGENT_STANDARD_FEATURE_ONLY,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,True,True,False,False,False,human_review_or_agent_rule_learning_design_only,未审核,,,,,,,
review_prior_low_medium:020,㻇,U+3EC7,16071,44744,44742,CJK Unified Ideographs Extension A,review_prior_low_medium,agent_standard_rule_learning_candidate,agent_standard_candidate_not_national_standard,NOT_SCORED_AGENT_STANDARD_FEATURE_ONLY,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,True,True,False,False,False,human_review_or_agent_rule_learning_design_only,未审核,,,,,,,
review_prior_low_medium:021,㽋,U+3F4B,16203,46133,46131,CJK Unified Ideographs Extension A,review_prior_low_medium,agent_standard_rule_learning_candidate,agent_standard_candidate_not_national_standard,NOT_SCORED_AGENT_STANDARD_FEATURE_ONLY,MISSING_DECOMPOSITION_COMPONENTS;MISSING_STRUCTURE,True,True,False,False,False,human_review_or_agent_rule_learning_design_only,未审核,,,,,,,
