审核序号,清单编号,汉字,Unicode,8105序号,规范等级,原始分层,现有轨道,数据库笔画数,基线笔画数,Unihan总笔画,笔画对照状态,cjk-decomp结构,cjkvi结构,结构对照状态,Unihan康熙部首号,审核结构（填写）,审核拆解或部件（填写）,审核笔画数（填写）,审核部首（填写）,审核结论（填写）,审核说明（填写）,审核人（填写）,审核日期（填写）,证据边界,编码状态
35,PENC_035,㺄,U+3E84,7410,三级,T1,provisional,12,12,12,agree,左右,左右,agree,94,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
36,PENC_036,㻬,U+3EEC,7747,三级,T1,provisional,15,15,15,agree,左右,左右,agree,96,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
37,PENC_037,㽏,U+3F4F,7729,三级,T1,provisional,14,14,14,agree,上下,上下,agree,99,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
38,PENC_038,㿠,U+3FE0,7198,三级,T1,provisional,11,11,11,agree,左右,左右,agree,106,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
39,PENC_039,䁖,U+4056,5693,二级,T1,provisional,14,14,14,agree,左右,左右,agree,109,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
40,PENC_040,䂮,U+40AE,7098,三级,T1,provisional,11,11,11,agree,上下,上下,agree,112,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
41,PENC_041,䃅,U+40C5,7508,三级,T1,provisional,13,13,13,agree,左右,左右,agree,112,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
42,PENC_042,䃎,U+40CE,7660,三级,T1,provisional,14,14,14,agree,左右,左右,agree,112,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
43,PENC_043,䅟,U+415F,7540,三级,T1,provisional,13,13,13,agree,左右,左右,agree,115,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
44,PENC_044,䌹,U+4339,6750,三级,T2,provisional,8,8,11,diff,左右,左右,agree,120,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
45,PENC_045,䎃,U+4383,7169,三级,T1,provisional,11,11,11,agree,左右,左右,agree,124,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
46,PENC_046,䎖,U+4396,8024,三级,T1,provisional,18,18,18,agree,左右,左右,agree,124,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
47,PENC_047,䏝,U+43DD,3978,二级,T1,provisional,8,8,8,agree,左右,左右,agree,130,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
48,PENC_048,䏡,U+43E1,6865,三级,T1,provisional,9,9,9,agree,左右,左右,agree,130,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
49,PENC_049,䏲,U+43F2,7213,三级,T1,provisional,11,11,11,agree,左右,左右,agree,130,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
50,PENC_050,䐃,U+4403,7402,三级,T1,provisional,12,12,12,agree,左右,左右,agree,130,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
51,PENC_051,䓖,U+44D6,6955,三级,T2,provisional,10,10,11,diff,上下,上下,agree,140,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
52,PENC_052,䓛,U+44DB,7134,三级,T2,provisional,11,11,12,diff,上下,上下,agree,140,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
53,PENC_053,䓨,U+44E8,7132,三级,T2,provisional,11,11,12,diff,上下,上下,agree,140,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
54,PENC_054,䓫,U+44EB,7124,三级,T2,provisional,11,11,12,diff,上下,上下,agree,140,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
55,PENC_055,䓬,U+44EC,7126,三级,T2,provisional,11,11,12,diff,上下,上下,agree,140,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
56,PENC_056,䗖,U+45D6,7772,三级,T1,provisional,15,15,15,agree,左右,左右,agree,142,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
57,PENC_057,䗛,U+45DB,7865,三级,T1,provisional,16,16,16,agree,左右,左右,agree,142,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
58,PENC_058,䗪,U+45EA,7970,三级,T1,provisional,17,17,17,agree,左上包,左上包,agree,142,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
59,PENC_059,䗴,U+45F4,8000,三级,T2,provisional,18,18,19,diff,左右,左右,agree,142,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
60,PENC_060,䜣,U+4723,6549,三级,T2,provisional,6,6,11,diff,左右,左右,agree,149,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
61,PENC_061,䝙,U+4759,7209,三级,T1,provisional,11,11,11,agree,左右,左右,agree,153,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
62,PENC_062,䢺,U+48BA,6633,三级,T2,provisional,7,7,8,diff,左右,左右,agree,163,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
63,PENC_063,䢼,U+48BC,6657,三级,T2,provisional,8,8,9,diff,左右,左右,agree,163,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
64,PENC_064,䣘,U+48D8,7516,三级,T2,provisional,13,13,14,diff,左右,左右,agree,163,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
65,PENC_065,䥽,U+497D,4546,二级,T2,provisional,10,10,13,diff,左右,左右,agree,167,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
66,PENC_066,䦃,U+4983,6111,二级,T2,provisional,16,16,20,diff,左右,左右,agree,167,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
67,PENC_067,䲟,U+4C9F,7560,三级,T2,provisional,13,13,16,diff,左右,左右,agree,195,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
68,PENC_068,䲠,U+4CA0,7960,三级,T2,provisional,17,17,20,diff,左右,左右,agree,195,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
69,PENC_069,䲢,U+4CA2,8014,三级,T2,provisional,18,18,21,diff,左右,左右,agree,195,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
70,PENC_070,䴓,U+4D13,6806,三级,T2,provisional,9,9,15,diff,左右,左右,agree,196,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
71,PENC_071,䴔,U+4D14,7224,三级,T2,provisional,11,11,17,diff,左右,左右,agree,196,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
72,PENC_072,䴕,U+4D15,7152,三级,T2,provisional,11,11,17,diff,上下,上下,agree,196,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
73,PENC_073,䴖,U+4D16,7465,三级,T2,provisional,13,13,19,diff,左右,左右,agree,196,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
74,PENC_074,䴗,U+4D17,7668,三级,T2,provisional,14,14,20,diff,左右,左右,agree,196,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
75,PENC_075,䴘,U+4D18,7795,三级,T2,provisional,15,15,21,diff,左右,左右,agree,196,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
76,PENC_076,䴙,U+4D19,8029,三级,T2,provisional,18,18,24,diff,左右,左右,agree,196,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
77,PENC_077,䶮,U+4DAE,6814,三级,T1,provisional,9,9,9,agree,上下,上下,agree,212,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
78,PENC_078,鿍,U+9FCD,6774,三级,T3,provisional,9,9,9,agree,缺失,左右,single_source_cjkvi,32,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
79,PENC_079,鿎,U+9FCE,7146,三级,T3,provisional,11,11,11,agree,缺失,左右,single_source_cjkvi,112,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
80,PENC_080,鿏,U+9FCF,7373,三级,T3,provisional,12,12,12,agree,缺失,左右,single_source_cjkvi,167,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
81,PENC_081,𠅤,U+20164,7219,三级,T1,provisional,11,11,11,agree,上下,上下,agree,8,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
82,PENC_082,𠙶,U+20676,6506,三级,T4,provisional,4,4,4,agree,左上包,下三包,disagree,17,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
83,PENC_083,𠳐,U+20CD0,4190,二级,T2,provisional,9,9,10,diff,左右,左右,agree,30,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
84,PENC_084,𡎚,U+2139A,7300,三级,T1,provisional,12,12,12,agree,左右,左右,agree,32,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
85,PENC_085,𡐓,U+21413,7635,三级,T1,provisional,14,14,14,agree,左右,左右,agree,32,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
86,PENC_086,𣗋,U+235CB,7650,三级,T1,provisional,14,14,14,agree,左右,左右,agree,75,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
87,PENC_087,𣲗,U+23C97,6613,三级,T1,provisional,7,7,7,agree,左右,左右,agree,85,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
88,PENC_088,𣲘,U+23C98,6612,三级,T1,provisional,7,7,7,agree,左右,左右,agree,85,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
89,PENC_089,𣸣,U+23E23,7425,三级,T1,provisional,12,12,12,agree,左右,左右,agree,85,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
90,PENC_090,𤧛,U+249DB,7470,三级,T1,provisional,13,13,13,agree,左右,左右,agree,96,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
91,PENC_091,𤩽,U+24A7D,7918,三级,T1,provisional,17,17,17,agree,左右,左右,agree,96,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
92,PENC_092,𤫉,U+24AC9,8075,三级,T1,provisional,21,21,21,agree,左右,左右,agree,96,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
93,PENC_093,𥔲,U+25532,7663,三级,T2,provisional,14,14,15,diff,左右,左右,agree,112,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
94,PENC_094,𥕢,U+25562,7851,三级,T1,provisional,16,16,16,agree,左右,左右,agree,112,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
95,PENC_095,𥖨,U+255A8,7996,三级,T1,provisional,18,18,18,agree,左右,左右,agree,112,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
96,PENC_096,𥻗,U+25ED7,5989,二级,T1,provisional,15,15,15,agree,左右,左右,agree,119,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
97,PENC_097,𦈡,U+26221,7979,三级,T1,provisional,17,17,17,agree,左右,左右,agree,120,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
98,PENC_098,𦒍,U+2648D,8020,三级,T1,provisional,18,18,18,agree,左右,左右,agree,124,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
99,PENC_099,𦙶,U+26676,6867,三级,T1,provisional,9,9,9,agree,左右,左右,agree,130,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
100,PENC_100,𦝼,U+2677C,7568,三级,T1,provisional,13,13,13,agree,左右,左右,agree,130,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
101,PENC_101,𦭜,U+26B5C,6658,三级,T2,provisional,8,8,9,diff,上下,上下,agree,140,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
102,PENC_102,𦰡,U+26C21,6794,三级,T2,provisional,9,9,11,diff,上下,上下,agree,140,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
103,PENC_103,𧿹,U+27FF9,7354,三级,T1,provisional,12,12,12,agree,左右,左右,agree,157,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
104,PENC_104,𨐈,U+28408,6976,三级,T1,provisional,10,10,10,agree,左右,左右,agree,159,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
105,PENC_105,𨙸,U+28678,6529,三级,T1,provisional,6,6,6,agree,左右,左右,agree,163,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
106,PENC_106,𨚕,U+28695,6637,三级,T1,provisional,7,7,7,agree,左右,左右,agree,163,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
107,PENC_107,𨟠,U+287E0,8057,三级,T1,provisional,20,20,20,agree,左右,左右,agree,163,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
108,PENC_108,𨭉,U+28B49,8063,三级,T1,provisional,20,20,20,agree,上下,上下,agree,167,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
